,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Buwan,"juan karlos",2272514,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2
2,"Malibu Nights",LANY,1816847,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl
3,"Kung 'Di Rin Lang Ikaw","December Avenue",1777777,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
4,Sana,"I Belong to the Zoo",1762244,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
5,"Maybe The Night",Ben&Ben,1533229,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
6,"thank u, next","Ariana Grande",1464304,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
7,"Sa Ngalan Ng Pag-Ibig","December Avenue",1351029,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
8,"Kathang Isip",Ben&Ben,1281935,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
9,"Love Someone","Lukas Graham",1166920,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
10,"Kiss and Make Up","Dua Lipa",1119226,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
11,2002,Anne-Marie,1104800,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
12,"Thru These Tears",LANY,1067532,https://open.spotify.com/track/7GbAp0HKPQW7WnFJAzMoRk
13,Happier,Marshmello,1065278,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
14,Mundo,"IV Of Spades",949836,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
15,"Beautiful (feat. Camila Cabello)",Bazzi,893424,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
16,"Girls Like You (feat. Cardi B)","Maroon 5",853503,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
17,Weak,"Khel Pangilinan",853280,https://open.spotify.com/track/06cUybZMETs4i3yQO1f7p3
18,"'Di Na Muli","Janine Teñoso",796098,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc
19,Better,Khalid,781660,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
20,"I Don't Wanna Love You Anymore",LANY,755638,https://open.spotify.com/track/7ArrTJ1LwcGAlEO65LUQ7i
21,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",734991,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
22,Bulong,"December Avenue",729633,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
23,"Eastside (with Halsey & Khalid)","benny blanco",722477,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
