,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",2245628,https://open.spotify.com/track/4Sib57MmYGJzSvkW84jTwh
2,"Kill This Love",BLACKPINK,1752567,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
3,"Boy With Luv (feat. Halsey)",BTS,1379614,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
4,"Pauwi Nako",PDL,1255502,https://open.spotify.com/track/2tzAN1L07SNwnOdgOEeuQr
5,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1172100,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
6,"Kahit Ayaw Mo Na","This Band",1166274,https://open.spotify.com/track/58grXgbCj7t5ulr0TGLIr9
7,Dalaga,ALLMO$T,1140974,https://open.spotify.com/track/3PLARiBoxCpJFUMZhvV63x
8,Sana,"I Belong to the Zoo",1091795,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
9,"Kung 'Di Rin Lang Ikaw","December Avenue",1045003,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
10,Talk,Khalid,1024903,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
11,Buwan,"juan karlos",955909,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2
12,"Maybe The Night",Ben&Ben,946948,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
13,"i'm so tired...",Lauv,899426,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
14,Bulong,"December Avenue",891972,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
15,"Missin You Crazy",Russ,864469,https://open.spotify.com/track/4ve2uzqdwnHr20G5YgMMqr
16,"Bagay Tayo",ALLMO$T,783210,https://open.spotify.com/track/2mwd0LWLBgtQBEOLG96nbU
17,comethru,"Jeremy Zucker",766244,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
18,"Hindi Na Nga","This Band",758695,https://open.spotify.com/track/2RgD3eO4IIGF16rR8Ch8OV
19,"Balang Araw","I Belong to the Zoo",754500,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m
20,FANCY,TWICE,740819,https://open.spotify.com/track/2FXd6kKCtBIc6UfN1gH1pA
21,"Love Someone","Lukas Graham",720384,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
22,"thank u, next","Ariana Grande",706409,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
23,"Best Part (feat. Daniel Caesar)",H.E.R.,706329,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
