,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"thank u, next","Ariana Grande",1956313,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
2,Buwan,"juan karlos",1837154,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2
3,"Kung 'Di Rin Lang Ikaw","December Avenue",1747390,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
4,Sana,"I Belong to the Zoo",1656056,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
5,"Kahit Ayaw Mo Na","This Band",1625061,https://open.spotify.com/track/5V2AX2WTOHl2FKtftvisV6
6,"Sa Ngalan Ng Pag-Ibig","December Avenue",1459097,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
7,"Malibu Nights",LANY,1326941,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl
8,"Maybe The Night",Ben&Ben,1264363,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
9,"Kathang Isip",Ben&Ben,1214540,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
10,"Love Someone","Lukas Graham",1137297,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
11,Happier,Marshmello,1068034,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
12,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1028513,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
13,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",997387,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
14,2002,Anne-Marie,982249,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
15,"Girls Like You (feat. Cardi B)","Maroon 5",934100,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
16,Mundo,"IV Of Spades",906812,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
17,"Thru These Tears",LANY,874979,https://open.spotify.com/track/7GbAp0HKPQW7WnFJAzMoRk
18,Bulong,"December Avenue",859562,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
19,"Beautiful (feat. Camila Cabello)",Bazzi,838334,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
20,"Without Me",Halsey,822434,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
21,Weak,"Khel Pangilinan",814732,https://open.spotify.com/track/06cUybZMETs4i3yQO1f7p3
22,"Kiss and Make Up","Dua Lipa",738181,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
23,"Kahit Di Mo Alam","December Avenue",697275,https://open.spotify.com/track/6GIzDc4xBUeYHwubWwTrhC
24,"'Di Na Muli","Janine Teñoso",696799,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc
25,"Eastside (with Halsey & Khalid)","benny blanco",684174,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
26,"You Are The Reason","Calum Scott",661658,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
27,IDGAF,"Dua Lipa",659618,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
28,"I Don't Wanna Love You Anymore",LANY,651057,https://open.spotify.com/track/7ArrTJ1LwcGAlEO65LUQ7i
29,Better,Khalid,648310,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
30,Ex,Callalily,645708,https://open.spotify.com/track/0GHwNr0lqf8jpc9wesmnHo
31,SOLO,JENNIE,636099,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj
32,"Rewrite The Stars (with James Arthur & Anne-Marie)","James Arthur",633818,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV
33,"Hindi Na Nga","This Band",607556,https://open.spotify.com/track/50hVyhZM4nvizfrQe38F3l
34,"8 Letters","Why Don't We",594470,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt
35,"This Feeling","The Chainsmokers",583093,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
36,imagine,"Ariana Grande",559223,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F
37,"Balang Araw","I Belong to the Zoo",528298,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m
38,Tagpuan,"Moira Dela Torre",513469,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih
39,"Thick And Thin",LANY,498032,https://open.spotify.com/track/3D110t9ctcoOoylXsc3iR8
40,"I Like Me Better",Lauv,485984,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
41,"Midnight Sky","Unique Salonga",455537,https://open.spotify.com/track/5eFzCfsj3d0yWumdEldZwL
42,Akala,Marion,447586,https://open.spotify.com/track/2Gh039ZAfydrM5IjiGlvEj
43,"Woman Like Me (feat. Nicki Minaj)","Little Mix",432330,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED
44,"Be Alright","Dean Lewis",430999,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
45,"All I Want for Christmas Is You","Mariah Carey",416816,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
46,breathin,"Ariana Grande",416504,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
47,"The Middle",Zedd,413030,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
48,"Pasensya Ka Na","Silent Sanctuary",401817,https://open.spotify.com/track/0YyM8aEdbjGfLWPn6fdcn7
49,Narcissist,"No Rome",397462,https://open.spotify.com/track/4Zft1h1zRfkBqlAo4qEPqp
50,Tadhana,"Up Dharma Down",377172,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR
51,"Waste It On Me (feat. BTS)","Steve Aoki",369869,https://open.spotify.com/track/2J0X46UkpfLlWbuCXFgDLr
52,"Say You Won't Let Go","James Arthur",368087,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
53,Rise,"Jonas Blue",364309,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx
54,"Switch It Up",Lavaado,355925,https://open.spotify.com/track/0Xq3TsWq8bCm7myxpBm0rh
55,"Too Good At Goodbyes","Sam Smith",355312,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
56,"Best Part (feat. Daniel Caesar)",H.E.R.,354203,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
57,"Santa Tell Me","Ariana Grande",349079,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
