,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"thank u, next","Ariana Grande",2074585,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
2,Buwan,"juan karlos",1920978,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2
3,"Kung 'Di Rin Lang Ikaw","December Avenue",1770282,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
4,Sana,"I Belong to the Zoo",1632151,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
5,"Kahit Ayaw Mo Na","This Band",1630510,https://open.spotify.com/track/5V2AX2WTOHl2FKtftvisV6
6,"Sa Ngalan Ng Pag-Ibig","December Avenue",1510051,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
7,"Malibu Nights",LANY,1398187,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl
8,"Maybe The Night",Ben&Ben,1319980,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
9,"Kathang Isip",Ben&Ben,1231677,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
10,"Love Someone","Lukas Graham",1088541,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
11,Happier,Marshmello,1076532,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
12,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",968317,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
13,Mundo,"IV Of Spades",964836,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
14,2002,Anne-Marie,953719,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
15,"Thru These Tears",LANY,936219,https://open.spotify.com/track/7GbAp0HKPQW7WnFJAzMoRk
16,"Girls Like You (feat. Cardi B)","Maroon 5",898183,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
17,Bulong,"December Avenue",866104,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
18,"Beautiful (feat. Camila Cabello)",Bazzi,857980,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
19,"Without Me",Halsey,821330,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
20,"Kiss and Make Up","Dua Lipa",801052,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
21,Weak,"Khel Pangilinan",793791,https://open.spotify.com/track/06cUybZMETs4i3yQO1f7p3
22,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",764456,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
23,Ex,Callalily,733655,https://open.spotify.com/track/0GHwNr0lqf8jpc9wesmnHo
24,"'Di Na Muli","Janine Teñoso",713060,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc
25,"I Don't Wanna Love You Anymore",LANY,686262,https://open.spotify.com/track/7ArrTJ1LwcGAlEO65LUQ7i
26,"Eastside (with Halsey & Khalid)","benny blanco",670222,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
27,IDGAF,"Dua Lipa",661760,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
28,"You Are The Reason","Calum Scott",660170,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
29,SOLO,JENNIE,651993,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj
30,Better,Khalid,647624,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
31,"Rewrite The Stars (with James Arthur & Anne-Marie)","James Arthur",622029,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV
32,"Hindi Na Nga","This Band",579267,https://open.spotify.com/track/50hVyhZM4nvizfrQe38F3l
33,"This Feeling (feat. Kelsea Ballerini)","The Chainsmokers",575490,https://open.spotify.com/track/6LKYeyLt4G4SlZ6OJwFhVS
34,"8 Letters","Why Don't We",566545,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt
35,"The Middle",Zedd,562771,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
36,Tagpuan,"Moira Dela Torre",526080,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih
37,"Thick And Thin",LANY,511824,https://open.spotify.com/track/3D110t9ctcoOoylXsc3iR8
38,Akala,Marion,510446,https://open.spotify.com/track/2Gh039ZAfydrM5IjiGlvEj
39,"Woman Like Me (feat. Nicki Minaj)","Little Mix",507027,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED
40,"Balang Araw","I Belong to the Zoo",496553,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m
41,"Kahit Di Mo Alam","December Avenue",489813,https://open.spotify.com/track/6GIzDc4xBUeYHwubWwTrhC
42,"Midnight Sky","Unique Salonga",481444,https://open.spotify.com/track/5eFzCfsj3d0yWumdEldZwL
43,breathin,"Ariana Grande",415944,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
44,"Be Alright","Dean Lewis",413481,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
45,"I Like Me Better",Lauv,412195,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
46,Narcissist,"No Rome",407478,https://open.spotify.com/track/4Zft1h1zRfkBqlAo4qEPqp
47,"Bohemian Rhapsody - Remastered 2011",Queen,402602,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
48,"Waste It On Me (feat. BTS)","Steve Aoki",401002,https://open.spotify.com/track/2J0X46UkpfLlWbuCXFgDLr
49,"Pasensya Ka Na","Silent Sanctuary",391293,https://open.spotify.com/track/0YyM8aEdbjGfLWPn6fdcn7
50,Rise,"Jonas Blue",390311,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx
51,Tadhana,"Up Dharma Down",381812,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR
52,"Say You Won't Let Go","James Arthur",369593,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
