,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Maybe The Night",Ben&Ben,1963226,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
2,"Kung 'Di Rin Lang Ikaw","December Avenue",1801743,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
3,"Malibu Nights",LANY,1643725,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl
4,"Thru These Tears",LANY,1555324,https://open.spotify.com/track/7GbAp0HKPQW7WnFJAzMoRk
5,"Kathang Isip",Ben&Ben,1346456,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
6,"Sa Ngalan Ng Pag-Ibig","December Avenue",1314883,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
7,"I Don't Wanna Love You Anymore",LANY,1248071,https://open.spotify.com/track/7ArrTJ1LwcGAlEO65LUQ7i
8,Sana,"I Belong to the Zoo",1200586,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
9,Happier,Marshmello,1167071,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
10,"Thick And Thin",LANY,1161457,https://open.spotify.com/track/3D110t9ctcoOoylXsc3iR8
11,"Beautiful (feat. Camila Cabello)",Bazzi,1015793,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
12,Mundo,"IV Of Spades",964897,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
13,Buwan,"juan karlos",958611,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2
14,"Love Someone","Lukas Graham",952871,https://open.spotify.com/track/2JqnpexlO9dmvjUMCaLCLJ
15,"'Di Na Muli","Janine Teñoso",896526,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc
16,"If You See Her",LANY,890647,https://open.spotify.com/track/3coUcc0CDAHz2QwdP7Pee8
17,2002,Anne-Marie,868285,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
18,"Girls Like You (feat. Cardi B)","Maroon 5",793985,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
19,"Eastside (with Halsey & Khalid)","benny blanco",730396,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
20,Better,Khalid,704592,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
21,"Kahit Maputi Na Ang Buhok ko - From ""The Hows Of Us""","Moira Dela Torre",676792,https://open.spotify.com/track/7aW2GrNlteWTwQZxX6LNjT
22,Akala,Marion,665716,https://open.spotify.com/track/2Gh039ZAfydrM5IjiGlvEj
23,"Be Alright","Dean Lewis",654041,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
24,IDGAF,"Dua Lipa",648496,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
25,"This Feeling (feat. Kelsea Ballerini)","The Chainsmokers",643856,https://open.spotify.com/track/15kQGEy89K8deJcZVFEn0N
26,"8 Letters","Why Don't We",640940,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt
27,"Taking Me Back",LANY,621303,https://open.spotify.com/track/6A9mMKHYdeUJGvQDKChC0C
28,Tagpuan,"Moira Dela Torre",620929,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih
29,Ex,Callalily,616040,https://open.spotify.com/track/0GHwNr0lqf8jpc9wesmnHo
30,"Let Me Know",LANY,607605,https://open.spotify.com/track/7DMPq3XndRJaj6NTINsLOz
31,"Valentine's Day",LANY,602063,https://open.spotify.com/track/2juRA8DhQePry4eb2LMUMM
32,Run,LANY,576311,https://open.spotify.com/track/0QXHHEi0rHMwmkxK5pvc05
33,"You Are The Reason","Calum Scott",547288,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
34,"In My Feelings",Drake,535545,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
35,"Midnight Sky","Unique Salonga",531998,https://open.spotify.com/track/5eFzCfsj3d0yWumdEldZwL
36,"The Middle",Zedd,527916,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
37,"No Brainer","DJ Khaled",527660,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
38,"Electricity (with Dua Lipa)","Silk City",524558,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
39,Weak,"Khel Pangilinan",514523,https://open.spotify.com/track/06cUybZMETs4i3yQO1f7p3
40,"God is a woman","Ariana Grande",491494,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
41,Rise,"Jonas Blue",472844,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
42,"Bakit Ba Ikaw","Michael Pangilinan",461775,https://open.spotify.com/track/0Vmk6Ebk4QBq7r0VAz2a6s
43,BAAM,MOMOLAND,460926,https://open.spotify.com/track/4Is1b37KJY9XVCgzp81FBW
44,Bulong,"December Avenue",448544,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
45,"There's No Way (feat. Julia Michaels)",Lauv,446848,https://open.spotify.com/track/2hnxrRNzF74mdDzpQZQukQ
46,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",442758,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
47,Tadhana,"Up Dharma Down",438584,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR
48,"Oks Lang","John Roa",426053,https://open.spotify.com/track/2wTxJWt2gA9a1Z94dTnPiI
49,Leaves,Ben&Ben,425003,https://open.spotify.com/track/6wdCelHrPh7UfliNjwRTUv
50,"Say You Won't Let Go","James Arthur",413790,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
51,breathin,"Ariana Grande",412636,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
52,"Freaky Friday (feat. Chris Brown)","Lil Dicky",411460,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
53,"Too Good At Goodbyes","Sam Smith",387153,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
54,"Kung Wala Ka",Hale,383880,https://open.spotify.com/track/4JSDhJVmo2UqdF7nxbyenn
55,"I Like Me Better",Lauv,383230,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
56,13,LANY,381622,https://open.spotify.com/track/0WOvSEVpUGkNufX0w0M06F
57,"Super Far",LANY,377757,https://open.spotify.com/track/15ahYSiHAIMxAnujlXVtta
58,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",377016,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
59,"Hanggang Kailan - Umuwi Ka Na Baby","Orange & Lemons",374507,https://open.spotify.com/track/5UhpceEr5XmbVwyoIUIRnh
60,"Susi (From the Film ""GOYO - Ang Batang Heneral"")",Ben&Ben,356428,https://open.spotify.com/track/3I572cT9kECh41bZz2xPhy
61,"Happy Now",Zedd,351039,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
