,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Kung 'Di Rin Lang Ikaw","December Avenue",1184799,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
2,"Kathang Isip",Ben&Ben,1072796,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
3,"Thru These Tears",LANY,1052874,https://open.spotify.com/track/4gB61mP4tNChn4LgfquMhi
4,"Sa Ngalan Ng Pag-Ibig","December Avenue",1047765,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
5,"Girls Like You (feat. Cardi B)","Maroon 5",1046190,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
6,"Beautiful (feat. Camila Cabello)",Bazzi,984318,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
7,"'Di Na Muli","Janine Teñoso",926888,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc
8,Mundo,"IV Of Spades",921365,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
9,"Eastside (with Halsey & Khalid)","benny blanco",910009,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
10,"No Brainer","DJ Khaled",902471,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
11,"In My Feelings",Drake,890011,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
12,2002,Anne-Marie,770046,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
13,"Happy Now",Zedd,710013,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
14,Tagpuan,"Moira Dela Torre",697304,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih
15,"Be Alright","Dean Lewis",691884,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
16,IDGAF,"Dua Lipa",652305,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
17,Happier,Marshmello,652136,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
18,"I Don't Wanna Love You Anymore",LANY,650202,https://open.spotify.com/track/1NEV2pt7AJSHWadhfCZ48t
19,BAAM,MOMOLAND,630788,https://open.spotify.com/track/4Is1b37KJY9XVCgzp81FBW
