,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,2280966,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
2,"Girls Like You (feat. Cardi B)","Maroon 5",1397739,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
3,"Kathang Isip",Ben&Ben,1136758,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
4,"Thru These Tears",LANY,1131126,https://open.spotify.com/track/4gB61mP4tNChn4LgfquMhi
5,Mundo,"IV Of Spades",1104338,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
6,2002,Anne-Marie,1054664,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
7,"'Di Na Muli","Janine Teñoso",1046014,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc
8,Rise,"Jonas Blue",957905,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
9,"Kung 'Di Rin Lang Ikaw","December Avenue",925684,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
10,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,920210,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
11,Tagpuan,"Moira Dela Torre",888716,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih
12,"God is a woman","Ariana Grande",847512,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
13,"Eastside (with Halsey & Khalid)","benny blanco",806228,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
14,"BBoom BBoom",MOMOLAND,749270,https://open.spotify.com/track/3BPoSr2pO34Aan6alFfVto
15,"Sa Ngalan Ng Pag-Ibig","December Avenue",730696,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
16,"Ocean (feat. Khalid)","Martin Garrix",709281,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
17,BAAM,MOMOLAND,706625,https://open.spotify.com/track/4Is1b37KJY9XVCgzp81FBW
18,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",679905,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
19,"Freaky Friday (feat. Chris Brown)","Lil Dicky",672727,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
20,"No Brainer","DJ Khaled",645819,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
21,"I'm a Mess","Bebe Rexha",626820,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
22,Enemies,Lauv,617394,https://open.spotify.com/track/3JJYIoJ5FyY9E0DGjr7SXF
23,Nadarang,"Shanti Dope",611335,https://open.spotify.com/track/6LJ1p1h5EcMK4VPeCLDSoF
24,IDGAF,"Dua Lipa",571003,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
25,"Happy Now",Zedd,540375,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
26,"The Middle",Zedd,534005,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
27,13,LANY,529172,https://open.spotify.com/track/0WOvSEVpUGkNufX0w0M06F
28,"Solo (feat. Demi Lovato)","Clean Bandit",526477,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
29,Happier,"Ed Sheeran",523933,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
30,Connection,OneRepublic,510807,https://open.spotify.com/track/3T4UodGkfZObJ43RtA5KFU
31,Youngblood,"5 Seconds of Summer",505629,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
32,"Bed (feat. Ariana Grande)","Nicki Minaj",490885,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
33,Tadhana,"Up Dharma Down",490194,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR
34,"Lucid Dreams","Juice WRLD",485066,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
35,"no tears left to cry","Ariana Grande",484822,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
36,"Born To Be Yours",Kygo,475472,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
37,"Let Me",ZAYN,473528,https://open.spotify.com/track/7Fg342AJtNsIDdwCfX0paC
38,"Only You (with Little Mix)","Cheat Codes",470108,https://open.spotify.com/track/54l9GJGQ1UCFKe2tzt1Vxt
39,"Playinwitme (feat. Kehlani)",KYLE,465107,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
40,Tagu-Taguan,"Moira Dela Torre",461796,https://open.spotify.com/track/2iOnWSWcChoGmUufbrQ00e
41,"Don’t Matter To Me (with Michael Jackson)",Drake,439542,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
42,"Too Good At Goodbyes","Sam Smith",436494,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
43,"Say You Won't Let Go","James Arthur",423643,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
44,Mau,"Shanti Dope",415414,https://open.spotify.com/track/0BkKdJSpKqzYLEneerSHq3
45,Mine,Bazzi,405208,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
46,Migraine,Moonstar88,392543,https://open.spotify.com/track/7sW3f7PqDV7BQ7qqeVBJIA
47,"Strawberries & Cigarettes","Troye Sivan",392533,https://open.spotify.com/track/2z7UKVsBdbA7HFPunDKDP4
48,Entertainer,ZAYN,391546,https://open.spotify.com/track/5LTGmestwpHZ1BfCmpFQJx
49,"Oks Lang","John Roa",386780,https://open.spotify.com/track/2wTxJWt2gA9a1Z94dTnPiI
50,"Kung Wala Ka",Hale,370549,https://open.spotify.com/track/4JSDhJVmo2UqdF7nxbyenn
51,"Midnight Sky","Unique Salonga",367215,https://open.spotify.com/track/2Uj9aeKOXPx4cgHrcd9401
52,"You Are The Reason","Calum Scott",365778,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
53,"Taste (feat. Offset)",Tyga,359686,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
54,Pa-Umaga,"Al James",352528,https://open.spotify.com/track/1bvPjHWOc5C8nHkw5U2Vb4
55,"I Like It","Cardi B",349546,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
56,"Rewrite The Stars","Zac Efron",348947,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
57,"Psycho (feat. Ty Dolla $ign)","Post Malone",328794,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
58,"Pasensya Ka Na","Silent Sanctuary",322964,https://open.spotify.com/track/0YyM8aEdbjGfLWPn6fdcn7
59,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,315673,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
60,"Better Now","Post Malone",309182,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
61,"Summertime Magic","Childish Gambino",306947,https://open.spotify.com/track/4j3GWI86JvSaF0BLdmgcfF
62,Perfect,"Ed Sheeran",305553,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
63,"FOREVER YOUNG - KR Ver.",BLACKPINK,303688,https://open.spotify.com/track/57Enap29zKl7NGRdDJjkjA
64,Somebody,"The Chainsmokers",303174,https://open.spotify.com/track/3pWcj8hxj3fsb9TDAcMpEl
65,Magbalik,Callalily,302344,https://open.spotify.com/track/5zMR44ZH4KVZj4FlhTj3SE
66,"One Kiss (with Dua Lipa)","Calvin Harris",302198,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
67,"I Like Me Better",Lauv,301312,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
68,"Best Part (feat. Daniel Caesar)",H.E.R.,298242,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
69,"Super Far",LANY,289947,https://open.spotify.com/track/15ahYSiHAIMxAnujlXVtta
70,"Dying Inside To Hold You - From "" All Of You"" Official Soundtrack","Darren Espanto",288152,https://open.spotify.com/track/7xty20N3DMTVOVtDIS2Jov
71,Hiling,"Mark Carpio",286733,https://open.spotify.com/track/6xQs6y6CpDqK9VKCktApEL
72,"With a Smile","South Border",283464,https://open.spotify.com/track/6XmskR1cMfgys1W7dExmgi
73,"Jackie Chan",Tiësto,282569,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
74,"Malaya (Camp Sawi Original Motion Picture Soundtrack)","Moira Dela Torre",282152,https://open.spotify.com/track/6M21eWbEw74XDdoQsNIinq
75,"Hanggang Kailan","Michael Pangilinan",271985,https://open.spotify.com/track/01YEqVPCm0vqRLA9w43bic
76,"In My Prison","IV Of Spades",269960,https://open.spotify.com/track/4Q6GncsjUTwWoQO6nsdyA6
77,"The Day You Said Goodnight - Acoustic Version",Hale,269191,https://open.spotify.com/track/6CHpr3pY2MbJ5y1076UDnI
78,Body,"Loud Luxury",264583,https://open.spotify.com/track/43V1z6QToNNWNldV4FEG6r
79,"Tell Me Where It Hurts",MYMP,262523,https://open.spotify.com/track/6C2nrsOlb3jOUGcJAmPrTA
80,Shantidope,"Shanti Dope",261332,https://open.spotify.com/track/6X7eJp4lv4ZeTkWor2wHLz
81,Bulong,"December Avenue",257232,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
82,"Take A Bow - Main",Rihanna,256560,https://open.spotify.com/track/39afswHs17v53znQm1gDTY
83,Dura,"Daddy Yankee",254118,https://open.spotify.com/track/6KuqAtoeVzxAYOaMveLNpH
84,"Why Can't It Be","Kaye Cal",252436,https://open.spotify.com/track/0zFYa7NIpKhmom8zrZx7Ga
85,"The Scientist",Coldplay,251961,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle
86,"So Sick",Ne-Yo,250847,https://open.spotify.com/track/6brl7bwOHmGFkNw3MBqssT
87,"Havana (feat. Young Thug)","Camila Cabello",248688,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
88,Photograph,"Ed Sheeran",248506,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
89,ILYSB,LANY,248451,https://open.spotify.com/track/2btKtacOXuMtC9WjcNRvAA
90,"I'm Yours","Jason Mraz",247974,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
91,Ex,Callalily,247189,https://open.spotify.com/track/0GHwNr0lqf8jpc9wesmnHo
92,"One and Only","Parokya Ni Edgar",245037,https://open.spotify.com/track/3OpGUlDmRUXh0NkIYWoIlD
93,"Maybe The Night",Ben&Ben,244152,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
94,OTW,Khalid,244069,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
95,Torete,"Moira Dela Torre",243273,https://open.spotify.com/track/7mxm4xOU54u1ODM9fS9w2y
96,Iris,"The Goo Goo Dolls",242741,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs
97,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,239507,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
98,"God's Plan",Drake,237421,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
99,SAD!,XXXTENTACION,237297,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
100,"Di Makatulog",SUD,236309,https://open.spotify.com/track/2ZiNCGDMapQzMtnPRVOKZI
101,"New Rules","Dua Lipa",235822,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
102,Sila,SUD,235527,https://open.spotify.com/track/2IMODbij0lZ5CuAjZi0IDE
103,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",234053,https://open.spotify.com/track/2lYTJK94hb0fd1LQtb6Dhk
104,"Two Less Lonely People in the World (Official Movie Theme Song Of ""Kita Kita"")","KZ Tandingan",231506,https://open.spotify.com/track/46ixegtxjERQMCutmp09Sa
105,"One Day (feat. Ryan Tedder)",Logic,230734,https://open.spotify.com/track/6e2PtJYcltVk76nLwxBzRn
106,"Meron Nang Iba","Silent Sanctuary",226601,https://open.spotify.com/track/4r7vGTk9HCW7YDorNWoclF
107,Leaves,Ben&Ben,222937,https://open.spotify.com/track/6wdCelHrPh7UfliNjwRTUv
108,"Never Not",Lauv,222801,https://open.spotify.com/track/4fFfyouye6vrX9o9z4PVMu
109,"Shape of You","Ed Sheeran",222050,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
110,"So Slow",Freestyle,219864,https://open.spotify.com/track/1A40ESJJPEEJrqjC9BUO2B
