,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Kill This Love",BLACKPINK,1745311,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
2,"Boy With Luv (feat. Halsey)",BTS,1481666,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
3,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1326903,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
4,"Pauwi Nako",PDL,1301458,https://open.spotify.com/track/2tzAN1L07SNwnOdgOEeuQr
5,Dalaga,ALLMO$T,1259171,https://open.spotify.com/track/3PLARiBoxCpJFUMZhvV63x
6,Sana,"I Belong to the Zoo",1201874,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
7,"Kahit Ayaw Mo Na","This Band",1130847,https://open.spotify.com/track/58grXgbCj7t5ulr0TGLIr9
8,"Kung 'Di Rin Lang Ikaw","December Avenue",1129179,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
9,Buwan,"juan karlos",993781,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2
10,Talk,Khalid,941934,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
11,"Maybe The Night",Ben&Ben,927640,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
12,"Hindi Na Nga","This Band",907466,https://open.spotify.com/track/2RgD3eO4IIGF16rR8Ch8OV
13,Bulong,"December Avenue",906198,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
14,"Balang Araw","I Belong to the Zoo",843841,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m
15,"Missin You Crazy",Russ,831381,https://open.spotify.com/track/4ve2uzqdwnHr20G5YgMMqr
16,"i'm so tired...",Lauv,825029,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
17,"Sa Ngalan Ng Pag-Ibig","December Avenue",789566,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
18,comethru,"Jeremy Zucker",709372,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
19,"thank u, next","Ariana Grande",697184,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
20,"Bagay Tayo",ALLMO$T,683037,https://open.spotify.com/track/3u9tIlAnygQGNJ5VuSvTfi
21,"Love Someone","Lukas Graham",682640,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
22,Sucker,"Jonas Brothers",673647,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
23,"Malibu Nights",LANY,669671,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl
