,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Kill This Love",BLACKPINK,2081834,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
2,"Boy With Luv (feat. Halsey)",BTS,1970227,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
3,"Pauwi Nako",PDL,1464025,https://open.spotify.com/track/2tzAN1L07SNwnOdgOEeuQr
4,Dalaga,ALLMO$T,1459930,https://open.spotify.com/track/3PLARiBoxCpJFUMZhvV63x
5,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1452066,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
6,"Kahit Ayaw Mo Na","This Band",1273985,https://open.spotify.com/track/58grXgbCj7t5ulr0TGLIr9
7,Sana,"I Belong to the Zoo",1230009,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
8,"Kung 'Di Rin Lang Ikaw","December Avenue",1193068,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
9,"Hindi Na Nga","This Band",1116927,https://open.spotify.com/track/2RgD3eO4IIGF16rR8Ch8OV
10,Buwan,"juan karlos",1031529,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2
11,Bulong,"December Avenue",1026270,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
12,"i'm so tired...",Lauv,997759,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
13,"Balang Araw","I Belong to the Zoo",969920,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m
14,"Missin You Crazy",Russ,963154,https://open.spotify.com/track/4ve2uzqdwnHr20G5YgMMqr
15,"Maybe The Night",Ben&Ben,908277,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
16,Talk,Khalid,888447,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
17,"Malibu Nights",LANY,843289,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl
18,"Sa Ngalan Ng Pag-Ibig","December Avenue",821393,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
19,"Best Part (feat. Daniel Caesar)",H.E.R.,818678,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
20,"Love Someone","Lukas Graham",781429,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
21,Mikrokosmos,BTS,772595,https://open.spotify.com/track/5hnbE5BF2e8BCk9OMR1UVC
22,"Dancing With A Stranger (with Normani)","Sam Smith",772548,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
23,Sucker,"Jonas Brothers",741401,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
24,"Make It Right",BTS,730892,https://open.spotify.com/track/6KUE0HSSudAp9AOycaF6SH
25,"Kathang Isip",Ben&Ben,729344,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
26,"thank u, next","Ariana Grande",728738,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
27,"Don't Know What To Do",BLACKPINK,710617,https://open.spotify.com/track/1TaQciB8qqRZ9fxWGhS65X
28,"Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack)","December Avenue",689633,https://open.spotify.com/track/24ngpWhBOxKJtIPnzSNX8c
29,"Bagay Tayo",ALLMO$T,687743,https://open.spotify.com/track/3u9tIlAnygQGNJ5VuSvTfi
30,"7 rings","Ariana Grande",671872,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
31,comethru,"Jeremy Zucker",670464,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
32,HOME,BTS,665805,https://open.spotify.com/track/7lthOBXNue2IvedLRfkod8
33,Undecided,"Chris Brown",664826,https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx
34,"'Di Na Babalik","This Band",654535,https://open.spotify.com/track/7hoP5NDUXEbmOawvEAsi8h
35,"bad guy","Billie Eilish",648404,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
36,"Please Me","Cardi B",619721,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN
37,"Jamais Vu",BTS,616090,https://open.spotify.com/track/0eeeyCAGnGZInPtpkdYiPa
38,"Ikaw At Ako","Moira Dela Torre",611039,https://open.spotify.com/track/0gDRtumoR9ZrvAlnniToMz
39,"214 - From ""Alone/Together""","JM De Guzman",610728,https://open.spotify.com/track/0Fh6hgq979963fIxr2VBF2
40,"Without Me",Halsey,605861,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
41,Happier,Marshmello,590233,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
42,Dionysus,BTS,580862,https://open.spotify.com/track/6JdS5rJvJaRA7B1tcm7kxZ
43,"Here With Me",Marshmello,554729,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
44,"Kahit Di Mo Alam","December Avenue",545192,https://open.spotify.com/track/6GIzDc4xBUeYHwubWwTrhC
45,"Intro : Persona",BTS,513512,https://open.spotify.com/track/2isSdmQfVv32j2haL6hk9x
46,"Sweet but Psycho","Ava Max",499073,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
47,"Kick It",BLACKPINK,495942,https://open.spotify.com/track/5R0cvR5BMFkLomChhmcCzr
48,"Who Do You Love","The Chainsmokers",488478,https://open.spotify.com/track/7ql71hBakyMi0Lxiq3Mugs
49,2002,Anne-Marie,487876,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
50,"Sa Susunod Na Lang",PDL,483892,https://open.spotify.com/track/34ob61cxp34Sf7KHK6RnSU
51,"Filipina Girl","Billy Crawford",477115,https://open.spotify.com/track/7iNMzfw2couNdTNXMYG2IR
52,"I Like Me Better",Lauv,465693,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
53,"Nobody Knows",Russ,459579,https://open.spotify.com/track/1pNAf6W7POwjOD8x8mWf8G
54,Mundo,"IV Of Spades",444217,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
55,"Thick And Thin",LANY,439843,https://open.spotify.com/track/3D110t9ctcoOoylXsc3iR8
56,"Beautiful (feat. Camila Cabello)",Bazzi,432487,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
57,Tagpuan,"Moira Dela Torre",428256,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih
58,"break up with your girlfriend, i'm bored","Ariana Grande",424563,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
59,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",419451,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
60,"Outta My Head (with John Mayer)",Khalid,416671,https://open.spotify.com/track/09oZ9eXQ2fo6YDrPzJqAoP
61,"Kapit - From ""Alone / Together""","Armi Millare",413895,https://open.spotify.com/track/02GtNoUv85fOPEaCTlpYzr
62,"DDU-DU DDU-DU",BLACKPINK,386744,https://open.spotify.com/track/2aI2k39nfa3KFsa4JclQzw
63,"Girls Like You (feat. Cardi B)","Maroon 5",385676,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
64,"Hope Not",BLACKPINK,375929,https://open.spotify.com/track/32107DdzIGbVs9Pi54MuRS
65,"'Di Na Muli","Janine Teñoso",363365,https://open.spotify.com/track/6p6DiqAPwMX7vdrSo30wgo
66,"Pangako - Recorded at Kodama Studios, Philippines","Silent Sanctuary",346376,https://open.spotify.com/track/5CThcDR9mycL3TjNKQ2qFk
67,SOLO,JENNIE,340868,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj
68,Dahan,"December Avenue",337050,https://open.spotify.com/track/6BxJLJw228OY5BFerPGl7z
69,"Pasensya Ka Na","Silent Sanctuary",329068,https://open.spotify.com/track/0YyM8aEdbjGfLWPn6fdcn7
70,"Thru These Tears",LANY,328638,https://open.spotify.com/track/7GbAp0HKPQW7WnFJAzMoRk
71,"Say You Won't Let Go","James Arthur",319140,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
72,"As If It's Your Last",BLACKPINK,317836,https://open.spotify.com/track/1Zyd6zQnC6XIIzmg3hP7Ot
73,Tadhana,"Up Dharma Down",308875,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR
74,IDGAF,"Dua Lipa",308822,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
75,"Kung Wala Ka",Hale,306856,https://open.spotify.com/track/4JSDhJVmo2UqdF7nxbyenn
76,Ex,Callalily,299939,https://open.spotify.com/track/7bkAr4WNoTuSjpuh1NRQjm
77,"Naaalala Ka / Maging Sino Ka Man (Spotify Jams: OPM Love Songs - Recorded at Kodama Studios, Philippines)","Moira Dela Torre",296385,https://open.spotify.com/track/3efCao3RLbsz52LQ66o8Ac
78,"Too Good At Goodbyes","Sam Smith",295484,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
79,"This Feeling","The Chainsmokers",293007,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
80,"Bakit Ba Ikaw","Michael Pangilinan",290246,https://open.spotify.com/track/0Vmk6Ebk4QBq7r0VAz2a6s
81,Migraine,Moonstar88,283604,https://open.spotify.com/track/7sW3f7PqDV7BQ7qqeVBJIA
82,"Eastside (with Halsey & Khalid)","benny blanco",282239,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
83,Nadarang,"Shanti Dope",279459,https://open.spotify.com/track/6LJ1p1h5EcMK4VPeCLDSoF
84,"On My Way","Alan Walker",278660,https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq
85,Better,Khalid,277399,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
86,"DDU-DU DDU-DU - Remix",BLACKPINK,276973,https://open.spotify.com/track/7tXQdx76iQVFeaBGDzXpZ2
87,Ex,Callalily,274417,https://open.spotify.com/track/0GHwNr0lqf8jpc9wesmnHo
88,"BOOMBAYAH - KR Ver.",BLACKPINK,274094,https://open.spotify.com/track/1qAPA8TooLVEqAZ58fhcrt
89,Weak,"Khel Pangilinan",271893,https://open.spotify.com/track/06cUybZMETs4i3yQO1f7p3
90,Paradise,Bazzi,269903,https://open.spotify.com/track/7njKgVl3AnLflRad38o7AG
91,"Old Town Road - Remix","Lil Nas X",266145,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
92,"The Middle",Zedd,265156,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
93,Shallow,"Lady Gaga",265141,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
94,Wow.,"Post Malone",260879,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
95,"Hanggang Kailan - Umuwi Ka Na Baby","Orange & Lemons",257951,https://open.spotify.com/track/5UhpceEr5XmbVwyoIUIRnh
96,"Ang Huling El Bimbo",Eraserheads,257929,https://open.spotify.com/track/135ggzbjOogZ75IQ0LQi8r
97,"달라달라 (DALLA DALLA)",ITZY,257842,https://open.spotify.com/track/0GU5GuJQQEnnREO2FxnVPT
98,"There's No Way (feat. Julia Michaels)",Lauv,256629,https://open.spotify.com/track/2hnxrRNzF74mdDzpQZQukQ
99,Sandali,Because,254401,https://open.spotify.com/track/0WRSaei4JRI1KTYhMqQh9y
100,"I Don't Wanna Love You Anymore",LANY,253353,https://open.spotify.com/track/7ArrTJ1LwcGAlEO65LUQ7i
101,"You Are The Reason","Calum Scott",245691,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
102,"Kung Ayaw Mo Wag Mo - Recorded at Kodama Studios, Philippines","IV Of Spades",245415,https://open.spotify.com/track/0BEpSEV02FM1N5gcw2fsJC
103,Leaves,Ben&Ben,245167,https://open.spotify.com/track/6wdCelHrPh7UfliNjwRTUv
104,Magbalik,Callalily,244723,https://open.spotify.com/track/5zMR44ZH4KVZj4FlhTj3SE
105,"Kiss and Make Up","Dua Lipa",244368,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
106,SOS,Avicii,244310,https://open.spotify.com/track/6nDKrPlXdpomGBgAlO7UdP
107,"Rewrite The Stars","Zac Efron",239923,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
108,"Forever Young",BLACKPINK,238743,https://open.spotify.com/track/56bHclo7YNvpujMveLElQn
