,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,2600012,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
2,"Girls Like You (feat. Cardi B)","Maroon 5",1330485,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
3,"Thru These Tears",LANY,1139893,https://open.spotify.com/track/4gB61mP4tNChn4LgfquMhi
4,Mundo,"IV Of Spades",1109742,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
5,2002,Anne-Marie,1093223,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
6,"Kathang Isip",Ben&Ben,1043533,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
7,"'Di Na Muli","Janine Teñoso",992164,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc
8,Rise,"Jonas Blue",971819,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
9,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,930329,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
10,"God is a woman","Ariana Grande",918365,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
11,Tagpuan,"Moira Dela Torre",904109,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih
12,"BBoom BBoom",MOMOLAND,759294,https://open.spotify.com/track/3BPoSr2pO34Aan6alFfVto
13,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",753550,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
14,"Ocean (feat. Khalid)","Martin Garrix",708615,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
15,13,LANY,697258,https://open.spotify.com/track/0WOvSEVpUGkNufX0w0M06F
16,Nadarang,"Shanti Dope",696971,https://open.spotify.com/track/6LJ1p1h5EcMK4VPeCLDSoF
17,"Eastside (with Halsey & Khalid)","benny blanco",680842,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
18,BAAM,MOMOLAND,677600,https://open.spotify.com/track/4Is1b37KJY9XVCgzp81FBW
19,"Sa Ngalan Ng Pag-Ibig","December Avenue",607641,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
20,"Solo (feat. Demi Lovato)","Clean Bandit",606430,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
21,"Kung 'Di Rin Lang Ikaw","December Avenue",594748,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
22,"Freaky Friday (feat. Chris Brown)","Lil Dicky",587953,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
23,"I'm a Mess","Bebe Rexha",576707,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
24,"Don’t Matter To Me (with Michael Jackson)",Drake,576489,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
25,"no tears left to cry","Ariana Grande",572095,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
26,"Bed (feat. Ariana Grande)","Nicki Minaj",564069,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
27,Entertainer,ZAYN,558054,https://open.spotify.com/track/5LTGmestwpHZ1BfCmpFQJx
28,Enemies,Lauv,556869,https://open.spotify.com/track/3JJYIoJ5FyY9E0DGjr7SXF
29,"Lucid Dreams","Juice WRLD",554738,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
30,IDGAF,"Dua Lipa",554304,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
31,"The Middle",Zedd,540944,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
32,Youngblood,"5 Seconds of Summer",539521,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
33,"Let Me",ZAYN,524776,https://open.spotify.com/track/7Fg342AJtNsIDdwCfX0paC
34,"Born To Be Yours",Kygo,517092,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
35,Tagu-Taguan,"Moira Dela Torre",489788,https://open.spotify.com/track/2iOnWSWcChoGmUufbrQ00e
36,Tadhana,"Up Dharma Down",482335,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR
37,Connection,OneRepublic,472886,https://open.spotify.com/track/3T4UodGkfZObJ43RtA5KFU
38,"Playinwitme (feat. Kehlani)",KYLE,461072,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
39,Mau,"Shanti Dope",450070,https://open.spotify.com/track/0BkKdJSpKqzYLEneerSHq3
40,"Say You Won't Let Go","James Arthur",438480,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
41,Mine,Bazzi,424216,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
42,Happier,"Ed Sheeran",422645,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
43,"Too Good At Goodbyes","Sam Smith",421510,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
44,"Summertime Magic","Childish Gambino",417404,https://open.spotify.com/track/4j3GWI86JvSaF0BLdmgcfF
45,"Taste (feat. Offset)",Tyga,417082,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
46,Migraine,Moonstar88,404538,https://open.spotify.com/track/7sW3f7PqDV7BQ7qqeVBJIA
47,"Only You (with Little Mix)","Cheat Codes",397089,https://open.spotify.com/track/54l9GJGQ1UCFKe2tzt1Vxt
48,"One Kiss (with Dua Lipa)","Calvin Harris",394961,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
49,"Rewrite The Stars","Zac Efron",392001,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
50,"I Like It","Cardi B",378135,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
51,"Strawberries & Cigarettes","Troye Sivan",373361,https://open.spotify.com/track/2z7UKVsBdbA7HFPunDKDP4
52,"Better Now","Post Malone",372014,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
53,"You Are The Reason","Calum Scott",370400,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
54,"Kung Wala Ka",Hale,365322,https://open.spotify.com/track/4JSDhJVmo2UqdF7nxbyenn
55,Pa-Umaga,"Al James",362048,https://open.spotify.com/track/1bvPjHWOc5C8nHkw5U2Vb4
56,Somebody,"The Chainsmokers",359205,https://open.spotify.com/track/3pWcj8hxj3fsb9TDAcMpEl
57,"Oks Lang","John Roa",342397,https://open.spotify.com/track/2wTxJWt2gA9a1Z94dTnPiI
58,"In My Prison","IV Of Spades",339450,https://open.spotify.com/track/4Q6GncsjUTwWoQO6nsdyA6
59,"Psycho (feat. Ty Dolla $ign)","Post Malone",331924,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
60,"FOREVER YOUNG - KR Ver.",BLACKPINK,331282,https://open.spotify.com/track/57Enap29zKl7NGRdDJjkjA
61,FRIENDS,Marshmello,324200,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
62,"Jackie Chan",Tiësto,319977,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
63,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,318430,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
64,"Best Part (feat. Daniel Caesar)",H.E.R.,316689,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
65,Perfect,"Ed Sheeran",316183,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
66,"I Like Me Better",Lauv,310895,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
67,"Pasensya Ka Na","Silent Sanctuary",303750,https://open.spotify.com/track/0YyM8aEdbjGfLWPn6fdcn7
68,"Midnight Sky","Unique Salonga",301392,https://open.spotify.com/track/2Uj9aeKOXPx4cgHrcd9401
69,"Dying Inside To Hold You - From "" All Of You"" Official Soundtrack","Darren Espanto",300514,https://open.spotify.com/track/7xty20N3DMTVOVtDIS2Jov
70,"Super Far",LANY,292427,https://open.spotify.com/track/15ahYSiHAIMxAnujlXVtta
71,"Malaya (Camp Sawi Original Motion Picture Soundtrack)","Moira Dela Torre",289013,https://open.spotify.com/track/6M21eWbEw74XDdoQsNIinq
72,Magbalik,Callalily,288149,https://open.spotify.com/track/5zMR44ZH4KVZj4FlhTj3SE
73,Hiling,"Mark Carpio",286663,https://open.spotify.com/track/6xQs6y6CpDqK9VKCktApEL
74,OTW,Khalid,286611,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
75,"With a Smile","South Border",286610,https://open.spotify.com/track/6XmskR1cMfgys1W7dExmgi
76,"We & Us","Moira Dela Torre",277678,https://open.spotify.com/track/5hyhR9TYBcSnmpSEl455eK
77,"Tell Me Where It Hurts",MYMP,274259,https://open.spotify.com/track/6C2nrsOlb3jOUGcJAmPrTA
78,Body,"Loud Luxury",271116,https://open.spotify.com/track/43V1z6QToNNWNldV4FEG6r
79,"God's Plan",Drake,269892,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
80,Dura,"Daddy Yankee",269599,https://open.spotify.com/track/6KuqAtoeVzxAYOaMveLNpH
81,"Hanggang Kailan","Michael Pangilinan",267868,https://open.spotify.com/track/01YEqVPCm0vqRLA9w43bic
82,"Take A Bow - Main",Rihanna,267429,https://open.spotify.com/track/39afswHs17v53znQm1gDTY
83,SAD!,XXXTENTACION,263617,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
84,Shantidope,"Shanti Dope",263535,https://open.spotify.com/track/6X7eJp4lv4ZeTkWor2wHLz
85,"Maybe The Night",Ben&Ben,260735,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
86,Torete,"Moira Dela Torre",257187,https://open.spotify.com/track/7mxm4xOU54u1ODM9fS9w2y
87,ILYSB,LANY,256351,https://open.spotify.com/track/2btKtacOXuMtC9WjcNRvAA
88,"Why Can't It Be","Kaye Cal",255152,https://open.spotify.com/track/0zFYa7NIpKhmom8zrZx7Ga
89,"The Scientist",Coldplay,252670,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle
90,"Havana (feat. Young Thug)","Camila Cabello",252196,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
91,Photograph,"Ed Sheeran",248746,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
92,"The Day You Said Goodnight - Acoustic Version",Hale,247008,https://open.spotify.com/track/6CHpr3pY2MbJ5y1076UDnI
93,"So Sick",Ne-Yo,243536,https://open.spotify.com/track/6brl7bwOHmGFkNw3MBqssT
94,"I'm Yours","Jason Mraz",242347,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
95,Iris,"The Goo Goo Dolls",241732,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs
96,"Happy Now",Zedd,239887,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
97,"Two Less Lonely People in the World (Official Movie Theme Song Of ""Kita Kita"")","KZ Tandingan",237114,https://open.spotify.com/track/46ixegtxjERQMCutmp09Sa
98,"New Rules","Dua Lipa",234539,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
99,"Let Me Be the One","Julie Anne San Jose",233519,https://open.spotify.com/track/39V6cEoNFwDFRJEOKyj4OR
100,"Dance The Night Away",TWICE,231605,https://open.spotify.com/track/281tmNk46TBQS9ACYMLYyA
101,Sila,SUD,229203,https://open.spotify.com/track/2IMODbij0lZ5CuAjZi0IDE
102,"Di Makatulog",SUD,228525,https://open.spotify.com/track/2ZiNCGDMapQzMtnPRVOKZI
103,"One and Only","Parokya Ni Edgar",225636,https://open.spotify.com/track/3OpGUlDmRUXh0NkIYWoIlD
104,"Meron Nang Iba","Silent Sanctuary",225526,https://open.spotify.com/track/4r7vGTk9HCW7YDorNWoclF
105,"'Di Na Muli",Itchyworms,224548,https://open.spotify.com/track/0rkML0CSX3wteVwUh5cspv
106,Ex,Callalily,220815,https://open.spotify.com/track/0GHwNr0lqf8jpc9wesmnHo
107,"Nothing's Gonna Stop Us Now - From ""Crazy Beautiful You""",Morissette,220540,https://open.spotify.com/track/1qoXYfWILyuN0EatImGlma
108,Bulong,"December Avenue",220064,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
109,Leaves,Ben&Ben,219861,https://open.spotify.com/track/6wdCelHrPh7UfliNjwRTUv
110,"Before I Let You Go",Freestyle,218311,https://open.spotify.com/track/1VvFtp71ibaXiHxurBlXuw
111,"Shape of You","Ed Sheeran",218115,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
112,"Hanggang Kailan - Umuwi Ka Na Baby","Orange & Lemons",217323,https://open.spotify.com/track/5UhpceEr5XmbVwyoIUIRnh
113,"Your Love - Dolce Amore Teleserye Theme",Juris,217204,https://open.spotify.com/track/2PcbtMoqOlGSzOfyJlkB06
114,Sa'yo,"Silent Sanctuary",215689,https://open.spotify.com/track/29xs643Q96uQLD8f7SxYYw
115,"I'm Not The Only One","Sam Smith",213705,https://open.spotify.com/track/7795WJLVKJoAyVoOtCWqXN
116,"If You're Over Me","Years & Years",213409,https://open.spotify.com/track/1oc3jna2ablnfIKLYbKujl
117,"As If It's Your Last",BLACKPINK,210860,https://open.spotify.com/track/1Zyd6zQnC6XIIzmg3hP7Ot
118,"What Lovers Do (feat. SZA)","Maroon 5",210536,https://open.spotify.com/track/0GxQ1A5L9xnMOytbP6eKBG
119,"So Slow",Freestyle,210253,https://open.spotify.com/track/1A40ESJJPEEJrqjC9BUO2B
120,"Maybe This Time - From ""Maybe This Time""","Sarah Geronimo",210042,https://open.spotify.com/track/0Dljpp52vCmtXi0E94qjfo
121,Sundo,"Moira Dela Torre",208993,https://open.spotify.com/track/4SN0eYjvqBmElFQxP0Inys
122,changes,XXXTENTACION,208654,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
123,"Like I'm Gonna Lose You (feat. John Legend)","Meghan Trainor",207682,https://open.spotify.com/track/2YlZnw2ikdb837oKMKjBkW
124,"Ang Huling El Bimbo",Eraserheads,206737,https://open.spotify.com/track/135ggzbjOogZ75IQ0LQi8r
125,Harana,"Parokya Ni Edgar",205939,https://open.spotify.com/track/3gyEt1vswIEbpQqBs18Lha
126,"Never Not",Lauv,204309,https://open.spotify.com/track/4fFfyouye6vrX9o9z4PVMu
127,"Capital Letters","Hailee Steinfeld",203474,https://open.spotify.com/track/2bllegdYt2WoYdbRZyJ730
128,"FAKE LOVE",BTS,203342,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
129,"Let Me Down Slowly","Alec Benjamin",202741,https://open.spotify.com/track/2uaiyLKnYvazyfR0Ky3Kbk
130,"You And Me",Lifehouse,199454,https://open.spotify.com/track/0815caqt2Lytro5EIzMufT
131,"This Is Me","Keala Settle",198895,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U
132,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",198867,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
133,"Huling Sayaw - Acoustic",Kamikazee,197363,https://open.spotify.com/track/4UgtdWy4dm7vMVIupUbtMm
134,"I'll Never Go","Erik Santos",197124,https://open.spotify.com/track/4ub59HeXqdYApJtkJqnvXE
135,"Ipagpatawad Mo",Mayonnaise,196010,https://open.spotify.com/track/7IqUmDJ2GjaOqrzDCXhrV5
136,"Don't Know What To Do (Don't Know What To Say)","Mark Carpio",195499,https://open.spotify.com/track/1ER60P43ftVOLaMRvBfpnt
137,Closer,"The Chainsmokers",194711,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
138,"ILYSB - STRIPPED",LANY,193663,https://open.spotify.com/track/3Dkvp3L4w0uJFYfIPa8E9H
139,"Beautiful Soul","Jesse McCartney",192247,https://open.spotify.com/track/1HwpWwa6bnqqRhK8agG4RS
140,"Love It If We Made It","The 1975",191652,https://open.spotify.com/track/7MRY4VpCuZvBmFda6ZCk2G
141,Stickwitu,"The Pussycat Dolls",191555,https://open.spotify.com/track/4NjR63Up0uMkQBlKvlZd1l
142,"She Will Be Loved - Radio Mix","Maroon 5",191475,https://open.spotify.com/track/4llK75pXNWZz6KAho2Gp16
143,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",189602,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
144,"lovely (with Khalid)","Billie Eilish",189523,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
