,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,2002,Anne-Marie,418589,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
56,"Antisocial (with Travis Scott)","Ed Sheeran",418580,https://open.spotify.com/track/1DhRbox3xkceP64k3JeYfW
57,"Here With Me",Marshmello,400565,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
58,"bad guy","Billie Eilish",390400,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
59,"Say You Won't Let Go","James Arthur",389411,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
60,Easier,"5 Seconds of Summer",375406,https://open.spotify.com/track/4tNXntkAzQ5A2dfYRYGIIQ
61,Mundo,"IV Of Spades",375080,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
62,"Kahit Di Mo Alam","December Avenue",350605,https://open.spotify.com/track/6GIzDc4xBUeYHwubWwTrhC
63,"Could I Love You Any More (feat. Jason Mraz)","Reneé Dominique",349914,https://open.spotify.com/track/6TbDpqKCksZNJjriFhPum8
64,"thank u, next","Ariana Grande",344551,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
65,okay,LANY,341097,https://open.spotify.com/track/1a0Mg4XPdt4EKsUz5beRZY
66,"Post Malone (feat. RANI)","Sam Feldt",334279,https://open.spotify.com/track/0qc4QlcCxVTGyShurEv1UU
67,Tadhana,"Up Dharma Down",324882,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR
68,FANCY,TWICE,323769,https://open.spotify.com/track/2FXd6kKCtBIc6UfN1gH1pA
69,Tagpuan,"Moira Dela Torre",313707,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih
70,"Bakit Ba Ikaw","Michael Pangilinan",312514,https://open.spotify.com/track/0Vmk6Ebk4QBq7r0VAz2a6s
71,"Kung Wala Ka",Hale,312401,https://open.spotify.com/track/4JSDhJVmo2UqdF7nxbyenn
72,"Someone You Loved","Lewis Capaldi",309027,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
73,"Too Good At Goodbyes","Sam Smith",308466,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
74,"Beautiful (feat. Camila Cabello)",Bazzi,303369,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
75,"Tagpuan - Duet Version","Moira Dela Torre",298997,https://open.spotify.com/track/1bBDyj7kZdMOAMX3czsWFg
76,"On A Roll","Ashley O",298172,https://open.spotify.com/track/56JyMaElW79S7TDWh1Zw1m
77,"Don't Check On Me (feat. Justin Bieber & Ink)","Chris Brown",297685,https://open.spotify.com/track/7ILEWkpfdK6AjH2D7jppWk
78,"Find U Again (feat. Camila Cabello)","Mark Ronson",297288,https://open.spotify.com/track/5Uw7Dut2lZfexn3Y09swpf
79,"Hanggang Kailan - Umuwi Ka Na Baby","Orange & Lemons",292557,https://open.spotify.com/track/5UhpceEr5XmbVwyoIUIRnh
80,Dalaga,Arvey,291465,https://open.spotify.com/track/3iZB3VUDerY5P96rhBKwKr
81,Happier,Marshmello,289420,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
82,Sucker,"Jonas Brothers",288574,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
83,"Pasensya Ka Na","Silent Sanctuary",287826,https://open.spotify.com/track/0YyM8aEdbjGfLWPn6fdcn7
84,"You Are The Reason","Calum Scott",285884,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
85,"Girls Like You (feat. Cardi B)","Maroon 5",285737,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
86,"It's You","Ali Gatie",283732,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
87,"'Di Na Muli","Janine Teñoso",280604,https://open.spotify.com/track/6p6DiqAPwMX7vdrSo30wgo
88,"Shape of My Heart","Backstreet Boys",274513,https://open.spotify.com/track/35o9a4iAfLl5jRmqMX9c1D
89,"7 rings","Ariana Grande",273189,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
90,"One and Only","Parokya Ni Edgar",267579,https://open.spotify.com/track/3OpGUlDmRUXh0NkIYWoIlD
91,"Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran",267170,https://open.spotify.com/track/4wuCQX7JvAZLlrcmH4AeZF
92,Migraine,Moonstar88,266358,https://open.spotify.com/track/7sW3f7PqDV7BQ7qqeVBJIA
93,"Truth Hurts",Lizzo,265087,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
94,"The Day You Said Goodnight",Hale,264736,https://open.spotify.com/track/0HZ3OUVrGHxttD2EuHqRm3
95,"Ang Huling El Bimbo",Eraserheads,262795,https://open.spotify.com/track/135ggzbjOogZ75IQ0LQi8r
96,Panini,"Lil Nas X",262155,https://open.spotify.com/track/6fTt0CH2t0mdeB2N9XFG5r
97,Stickwitu,"The Pussycat Dolls",262024,https://open.spotify.com/track/4NjR63Up0uMkQBlKvlZd1l
98,"Tell Me Where It Hurts",MYMP,260825,https://open.spotify.com/track/6C2nrsOlb3jOUGcJAmPrTA
99,Magbalik,Callalily,258540,https://open.spotify.com/track/5zMR44ZH4KVZj4FlhTj3SE
100,IDGAF,"Dua Lipa",256160,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
101,"Thru These Tears",LANY,250460,https://open.spotify.com/track/7GbAp0HKPQW7WnFJAzMoRk
102,"Isa Pang Araw","Sarah Geronimo",249826,https://open.spotify.com/track/1KbQcIJWNlL0e9a81k1Fls
103,Perfect,"Ed Sheeran",249655,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
104,"This I Promise You",*NSYNC,248581,https://open.spotify.com/track/46n2EGFnPC3tzWCN1Aqe26
105,"Oks Lang","John Roa",246012,https://open.spotify.com/track/6YEO7K4hwGKh7BmNxMMvkc
106,"One Thing Right - feat. Kane Brown",Marshmello,245716,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
107,"I'm Yours","Jason Mraz",245330,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
108,Lucky,"Jason Mraz",243726,https://open.spotify.com/track/2qLMf6TuEC3ruGJg4SMMN6
109,Leaves,Ben&Ben,243011,https://open.spotify.com/track/6wdCelHrPh7UfliNjwRTUv
110,"Ikaw At Ako","Moira Dela Torre",241961,https://open.spotify.com/track/0gDRtumoR9ZrvAlnniToMz
111,"DDU-DU DDU-DU",BLACKPINK,241568,https://open.spotify.com/track/2aI2k39nfa3KFsa4JclQzw
112,"Eastside (with Halsey & Khalid)","benny blanco",239748,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
113,"Sa Dulo Ng Walang Hanggan - Sa Ngalan Ng Pag-Ibig Piano Version","December Avenue",239485,https://open.spotify.com/track/1mTROTnvFi7uxGciL319Kb
114,Weak,"Khel Pangilinan",234696,https://open.spotify.com/track/06cUybZMETs4i3yQO1f7p3
115,"The Middle",Zedd,234344,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
116,"As If It's Your Last",BLACKPINK,233989,https://open.spotify.com/track/1Zyd6zQnC6XIIzmg3hP7Ot
117,"Only Human","Jonas Brothers",231908,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
118,"Thick And Thin",LANY,228994,https://open.spotify.com/track/3D110t9ctcoOoylXsc3iR8
119,"You And Me",Lifehouse,225024,https://open.spotify.com/track/0815caqt2Lytro5EIzMufT
120,Ex,Callalily,224969,https://open.spotify.com/track/0GHwNr0lqf8jpc9wesmnHo
121,"Ako Muna","Yeng Constantino",224362,https://open.spotify.com/track/5jLEQLkEU8Sb2fG5UQcwDM
122,Happier,"Ed Sheeran",224145,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
123,"I Don't Wanna Love You Anymore",LANY,223348,https://open.spotify.com/track/7ArrTJ1LwcGAlEO65LUQ7i
124,Someday,Nina,223148,https://open.spotify.com/track/1MkiRsYBkXbXvdiYvTTiQT
125,Photograph,"Ed Sheeran",222544,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
126,Happiness,"Rex Orange County",221207,https://open.spotify.com/track/2rXVtoLBHuXcNB5DVfIc9p
127,"She Will Be Loved - Radio Mix","Maroon 5",219679,https://open.spotify.com/track/4llK75pXNWZz6KAho2Gp16
128,"Can You Feel the Love Tonight",Beyoncé,219171,https://open.spotify.com/track/1zSKtBze2IReYU44W0lDzd
129,"With a Smile","South Border",218336,https://open.spotify.com/track/6XmskR1cMfgys1W7dExmgi
130,Better,Khalid,217535,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
131,"Money In The Grave (Drake ft. Rick Ross)",Drake,217289,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
132,Amatz,"Shanti Dope",216163,https://open.spotify.com/track/59aZ0ioyVrmtdut1KfU5aT
133,Rainbow,"South Border",215357,https://open.spotify.com/track/3ueq4reab02CypseErxvwS
134,"Just the Way You Are","Bruno Mars",212738,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
135,Starving,"Hailee Steinfeld",212187,https://open.spotify.com/track/6875MeXyCW0wLyT72Eetmo
136,"Back At One","Brian McKnight",211757,https://open.spotify.com/track/6mwA6YiKDjAUG8kWvRRUPh
137,Hiling,"Mark Carpio",210377,https://open.spotify.com/track/6xQs6y6CpDqK9VKCktApEL
