,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Kill This Love",BLACKPINK,1624809,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
2,"I Don't Care (with Justin Bieber)","Ed Sheeran",1456039,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
3,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",1283955,https://open.spotify.com/track/4Sib57MmYGJzSvkW84jTwh
4,"Boy With Luv (feat. Halsey)",BTS,1236828,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
5,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1145477,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
6,"A Whole New World (End Title) - From ""Aladdin""",ZAYN,1134551,https://open.spotify.com/track/1iWHabUgUuuKLBa0TzTHfk
7,"Pauwi Nako",PDL,1117825,https://open.spotify.com/track/2tzAN1L07SNwnOdgOEeuQr
8,Sana,"I Belong to the Zoo",1095949,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
9,"Kahit Ayaw Mo Na","This Band",1057549,https://open.spotify.com/track/58grXgbCj7t5ulr0TGLIr9
10,Dalaga,ALLMO$T,973548,https://open.spotify.com/track/3PLARiBoxCpJFUMZhvV63x
11,"Maybe The Night",Ben&Ben,943127,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
12,Talk,Khalid,932600,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
13,"If I Can't Have You","Shawn Mendes",872751,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
14,"Bagay Tayo",ALLMO$T,850014,https://open.spotify.com/track/2mwd0LWLBgtQBEOLG96nbU
15,Buwan,"juan karlos",833836,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2
16,"Kung 'Di Rin Lang Ikaw","December Avenue",831625,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
17,comethru,"Jeremy Zucker",822687,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
18,"i'm so tired...",Lauv,818067,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
19,Bulong,"December Avenue",812350,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
20,"Hindi Na Nga","This Band",794830,https://open.spotify.com/track/2RgD3eO4IIGF16rR8Ch8OV
21,"bad guy","Billie Eilish",779162,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
22,"Missin You Crazy",Russ,730834,https://open.spotify.com/track/4ve2uzqdwnHr20G5YgMMqr
23,"Balang Araw","I Belong to the Zoo",720844,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m
24,Sucker,"Jonas Brothers",711030,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
25,"Kathang Isip",Ben&Ben,677980,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
26,"Love Someone","Lukas Graham",674311,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
27,"Without Me",Halsey,648590,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
28,"Best Part (feat. Daniel Caesar)",H.E.R.,648172,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
29,"Sa Susunod Na Lang",PDL,641711,https://open.spotify.com/track/34ob61cxp34Sf7KHK6RnSU
