,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Kill This Love",BLACKPINK,1448721,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
2,"I Don't Care (with Justin Bieber)","Ed Sheeran",1328507,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
3,"A Whole New World (End Title) - From ""Aladdin""",ZAYN,1254190,https://open.spotify.com/track/1iWHabUgUuuKLBa0TzTHfk
4,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1167108,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
5,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",1138016,https://open.spotify.com/track/4MsUsFfWseB9M2plGJyuIw
6,Sana,"I Belong to the Zoo",1127562,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
7,"Boy With Luv (feat. Halsey)",BTS,1076999,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
8,"Kahit Ayaw Mo Na","This Band",1067154,https://open.spotify.com/track/58grXgbCj7t5ulr0TGLIr9
9,"Pauwi Nako",PDL,1016221,https://open.spotify.com/track/2tzAN1L07SNwnOdgOEeuQr
10,"Maybe The Night",Ben&Ben,954856,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
11,Talk,Khalid,915614,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
12,comethru,"Jeremy Zucker",907157,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
13,"Bagay Tayo",ALLMO$T,896505,https://open.spotify.com/track/2mwd0LWLBgtQBEOLG96nbU
14,"Hindi Na Nga","This Band",889659,https://open.spotify.com/track/2RgD3eO4IIGF16rR8Ch8OV
15,Dalaga,ALLMO$T,882262,https://open.spotify.com/track/3PLARiBoxCpJFUMZhvV63x
16,"i'm so tired...",Lauv,874662,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
17,"Kung 'Di Rin Lang Ikaw","December Avenue",840241,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
18,Bulong,"December Avenue",834613,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
19,"If I Can't Have You","Shawn Mendes",824313,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
20,Buwan,"juan karlos",820208,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2
21,"Missin You Crazy",Russ,797379,https://open.spotify.com/track/4ve2uzqdwnHr20G5YgMMqr
22,"bad guy","Billie Eilish",750126,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
23,"Balang Araw","I Belong to the Zoo",729688,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m
24,"Love Someone","Lukas Graham",709650,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
25,"Kathang Isip",Ben&Ben,697707,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
26,"Best Part (feat. Daniel Caesar)",H.E.R.,687270,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
27,"Sa Susunod Na Lang",PDL,681130,https://open.spotify.com/track/34ob61cxp34Sf7KHK6RnSU
28,"Old Town Road - Remix","Lil Nas X",681071,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
29,"Without Me",Halsey,676736,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
30,"Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack)","December Avenue",668438,https://open.spotify.com/track/24ngpWhBOxKJtIPnzSNX8c
31,Sucker,"Jonas Brothers",667325,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
32,"Nobody Knows",Russ,646922,https://open.spotify.com/track/1pNAf6W7POwjOD8x8mWf8G
33,"Dancing With A Stranger (with Normani)","Sam Smith",632793,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
34,Paradise,Bazzi,575016,https://open.spotify.com/track/7njKgVl3AnLflRad38o7AG
35,"Filipina Girl","Billy Crawford",551876,https://open.spotify.com/track/7iNMzfw2couNdTNXMYG2IR
36,"Sa Ngalan Ng Pag-Ibig","December Avenue",538441,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
37,"Here With Me",Marshmello,537984,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
38,"'Di Na Babalik","This Band",532731,https://open.spotify.com/track/7hoP5NDUXEbmOawvEAsi8h
39,"Ikaw At Ako","Moira Dela Torre",520063,https://open.spotify.com/track/0gDRtumoR9ZrvAlnniToMz
40,"Sweet but Psycho","Ava Max",514188,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
41,"I Like Me Better",Lauv,504287,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
42,"214 - From ""Alone/Together""","JM De Guzman",499516,https://open.spotify.com/track/0Fh6hgq979963fIxr2VBF2
43,"thank u, next","Ariana Grande",486530,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
44,"Who Do You Love","The Chainsmokers",486409,https://open.spotify.com/track/5QiNbIilmMiMBXvaAlf7lN
45,Earth,"Lil Dicky",486398,https://open.spotify.com/track/2S1LebN6AXXQqJolBxlWgO
46,Pagtingin,Ben&Ben,473546,https://open.spotify.com/track/5l9g7py8RCblcvbZgGQgSd
47,"Drugs & The Internet",Lauv,447787,https://open.spotify.com/track/4SHhui9S7lFYGHXikfneGo
48,2002,Anne-Marie,440689,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
49,"Please Me","Cardi B",440085,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN
50,"Don't Know What To Do",BLACKPINK,429524,https://open.spotify.com/track/1TaQciB8qqRZ9fxWGhS65X
51,"On My Way","Alan Walker",408237,https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq
52,FANCY,TWICE,405080,https://open.spotify.com/track/2FXd6kKCtBIc6UfN1gH1pA
53,Nobela,"Join The Club",399730,https://open.spotify.com/track/3vGkyQlCw8LklNip0ZUELC
54,okay,LANY,394831,https://open.spotify.com/track/1a0Mg4XPdt4EKsUz5beRZY
55,Happier,Marshmello,394619,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
56,Undecided,"Chris Brown",390077,https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx
57,Mundo,"IV Of Spades",383983,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
58,"Kahit Di Mo Alam","December Avenue",382342,https://open.spotify.com/track/6GIzDc4xBUeYHwubWwTrhC
59,"Malibu Nights",LANY,381610,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl
60,"7 rings","Ariana Grande",373627,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
61,"'Di Na Muli","Janine Teñoso",348800,https://open.spotify.com/track/6p6DiqAPwMX7vdrSo30wgo
62,"Beautiful (feat. Camila Cabello)",Bazzi,348491,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
63,"Bakit Ba Ikaw","Michael Pangilinan",347593,https://open.spotify.com/track/0Vmk6Ebk4QBq7r0VAz2a6s
64,"Say You Won't Let Go","James Arthur",340886,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
65,"Outta My Head (with John Mayer)",Khalid,340341,https://open.spotify.com/track/09oZ9eXQ2fo6YDrPzJqAoP
66,Ex,Callalily,334281,https://open.spotify.com/track/7bkAr4WNoTuSjpuh1NRQjm
67,"Girls Like You (feat. Cardi B)","Maroon 5",334229,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
68,Tagpuan,"Moira Dela Torre",324368,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih
69,"Pangako - Recorded at Kodama Studios, Philippines","Silent Sanctuary",317265,https://open.spotify.com/track/5CThcDR9mycL3TjNKQ2qFk
70,Dahan,"December Avenue",316459,https://open.spotify.com/track/6BxJLJw228OY5BFerPGl7z
71,"DDU-DU DDU-DU",BLACKPINK,315885,https://open.spotify.com/track/2aI2k39nfa3KFsa4JclQzw
72,"Kung Wala Ka",Hale,304716,https://open.spotify.com/track/4JSDhJVmo2UqdF7nxbyenn
73,Tadhana,"Up Dharma Down",302002,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR
74,"Thru These Tears",LANY,295124,https://open.spotify.com/track/7GbAp0HKPQW7WnFJAzMoRk
75,"Pasensya Ka Na","Silent Sanctuary",292522,https://open.spotify.com/track/0YyM8aEdbjGfLWPn6fdcn7
76,IDGAF,"Dua Lipa",286355,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
77,"Bagong Umaga",Agsunta,285673,https://open.spotify.com/track/33NwLcrJHLbENMoDeAPUNi
78,Weak,"Khel Pangilinan",285596,https://open.spotify.com/track/06cUybZMETs4i3yQO1f7p3
79,"As If It's Your Last",BLACKPINK,281355,https://open.spotify.com/track/1Zyd6zQnC6XIIzmg3hP7Ot
80,"Too Good At Goodbyes","Sam Smith",277296,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
81,"Rewrite The Stars","Zac Efron",275594,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
82,Ex,Callalily,269937,https://open.spotify.com/track/0GHwNr0lqf8jpc9wesmnHo
83,"Eastside (with Halsey & Khalid)","benny blanco",269561,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
84,"Hanggang Kailan - Umuwi Ka Na Baby","Orange & Lemons",268237,https://open.spotify.com/track/5UhpceEr5XmbVwyoIUIRnh
85,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,262456,https://open.spotify.com/track/3y3brCCecHC3Db18aIOnny
86,"This Feeling","The Chainsmokers",261461,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
87,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",261353,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
