,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,1483128,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
2,"Kung 'Di Rin Lang Ikaw","December Avenue",1336635,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
3,"Girls Like You (feat. Cardi B)","Maroon 5",1182472,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
4,Mundo,"IV Of Spades",1132567,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
5,"Kathang Isip",Ben&Ben,1132106,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
6,"Thru These Tears",LANY,1062295,https://open.spotify.com/track/4gB61mP4tNChn4LgfquMhi
7,"No Brainer","DJ Khaled",1055170,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
8,"'Di Na Muli","Janine Teñoso",987433,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc
9,"Eastside (with Halsey & Khalid)","benny blanco",915530,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
10,"Sa Ngalan Ng Pag-Ibig","December Avenue",885901,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
11,2002,Anne-Marie,859802,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
12,"God is a woman","Ariana Grande",827382,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
13,Rise,"Jonas Blue",813690,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
14,Tagpuan,"Moira Dela Torre",804089,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih
15,BAAM,MOMOLAND,776739,https://open.spotify.com/track/4Is1b37KJY9XVCgzp81FBW
16,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,766124,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
17,"Happy Now",Zedd,765662,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
18,"Beautiful (feat. Camila Cabello)",Bazzi,759245,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
19,breathin,"Ariana Grande",699018,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
20,IDGAF,"Dua Lipa",626483,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
