,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Señorita,"Shawn Mendes",2437482,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik
2,"I Don't Care (with Justin Bieber)","Ed Sheeran",1529614,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
3,"Beautiful People (feat. Khalid)","Ed Sheeran",1406526,https://open.spotify.com/track/4evmHXcjt3bTUHD1cvny97
4,Sana,"I Belong to the Zoo",1159068,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
5,"A Whole New World (End Title) - From ""Aladdin""",ZAYN,1137136,https://open.spotify.com/track/1iWHabUgUuuKLBa0TzTHfk
6,comethru,"Jeremy Zucker",1123811,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
7,"Sa Susunod Na Lang",PDL,1117334,https://open.spotify.com/track/34ob61cxp34Sf7KHK6RnSU
8,"Never Really Over","Katy Perry",1036107,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
9,"Bagay Tayo",ALLMO$T,1030520,https://open.spotify.com/track/2mwd0LWLBgtQBEOLG96nbU
10,"You Need To Calm Down","Taylor Swift",993984,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS
11,"Old Town Road - Remix","Lil Nas X",950302,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
12,"Kill This Love",BLACKPINK,947784,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
13,"Hindi Na Nga","This Band",927790,https://open.spotify.com/track/2RgD3eO4IIGF16rR8Ch8OV
14,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",927213,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
15,"If I Can't Have You","Shawn Mendes",899871,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
16,"Nobody Knows",Russ,885021,https://open.spotify.com/track/1pNAf6W7POwjOD8x8mWf8G
17,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",872717,https://open.spotify.com/track/4MsUsFfWseB9M2plGJyuIw
18,"Maybe The Night",Ben&Ben,855859,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
19,Talk,Khalid,831779,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
20,"Kahit Ayaw Mo Na","This Band",799976,https://open.spotify.com/track/58grXgbCj7t5ulr0TGLIr9
21,"Kung 'Di Rin Lang Ikaw","December Avenue",798810,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
22,Dahan,"December Avenue",788628,https://open.spotify.com/track/6BxJLJw228OY5BFerPGl7z
23,"Call You Mine (with Bebe Rexha)","The Chainsmokers",779785,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR
24,"Patawad, Paalam","Moira Dela Torre",777754,https://open.spotify.com/track/14BG5B1EJSCyNpZt096xXc
25,"'Di Na Babalik","This Band",754250,https://open.spotify.com/track/7hoP5NDUXEbmOawvEAsi8h
26,"Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack)","December Avenue",742174,https://open.spotify.com/track/24ngpWhBOxKJtIPnzSNX8c
27,Bulong,"December Avenue",709007,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
28,"Pauwi Nako",PDL,683074,https://open.spotify.com/track/2tzAN1L07SNwnOdgOEeuQr
29,"Kathang Isip",Ben&Ben,667723,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
30,"Best Part (feat. Daniel Caesar)",H.E.R.,658956,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
31,"Missin You Crazy",Russ,655059,https://open.spotify.com/track/4ve2uzqdwnHr20G5YgMMqr
32,Wrong,"Luh Kel",651464,https://open.spotify.com/track/3EludUFeAoJAwSixWGG5Wg
33,Sanctuary,Joji,647531,https://open.spotify.com/track/3xaugmCyXrVkrDTXbFkMW3
34,"Boy With Luv (feat. Halsey)",BTS,645114,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
35,"i'm so tired...",Lauv,644512,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
36,Pagtingin,Ben&Ben,634201,https://open.spotify.com/track/5l9g7py8RCblcvbZgGQgSd
37,"Love Someone","Lukas Graham",615281,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
