,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Señorita,"Shawn Mendes",2035022,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik
2,"I Don't Care (with Justin Bieber)","Ed Sheeran",1488726,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
3,"A Whole New World (End Title) - From ""Aladdin""",ZAYN,1191751,https://open.spotify.com/track/1iWHabUgUuuKLBa0TzTHfk
4,"You Need To Calm Down","Taylor Swift",1167096,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS
5,Sana,"I Belong to the Zoo",1090962,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
6,comethru,"Jeremy Zucker",1058153,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
7,"Never Really Over","Katy Perry",1027526,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
8,"Sa Susunod Na Lang",PDL,1006460,https://open.spotify.com/track/34ob61cxp34Sf7KHK6RnSU
9,"Bagay Tayo",ALLMO$T,1000533,https://open.spotify.com/track/2mwd0LWLBgtQBEOLG96nbU
10,"Kill This Love",BLACKPINK,991613,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
11,"If I Can't Have You","Shawn Mendes",935909,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
12,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",912959,https://open.spotify.com/track/4MsUsFfWseB9M2plGJyuIw
13,"Old Town Road - Remix","Lil Nas X",898723,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
14,"Hindi Na Nga","This Band",898644,https://open.spotify.com/track/2RgD3eO4IIGF16rR8Ch8OV
15,Talk,Khalid,888861,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
16,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",870594,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
17,"Nobody Knows",Russ,832474,https://open.spotify.com/track/1pNAf6W7POwjOD8x8mWf8G
18,"Maybe The Night",Ben&Ben,823603,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
19,"Kahit Ayaw Mo Na","This Band",796256,https://open.spotify.com/track/58grXgbCj7t5ulr0TGLIr9
20,"Kung 'Di Rin Lang Ikaw","December Avenue",724395,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
21,"Pauwi Nako",PDL,723513,https://open.spotify.com/track/2tzAN1L07SNwnOdgOEeuQr
22,"Patawad, Paalam","Moira Dela Torre",720943,https://open.spotify.com/track/14BG5B1EJSCyNpZt096xXc
23,Dahan,"December Avenue",714554,https://open.spotify.com/track/6BxJLJw228OY5BFerPGl7z
