,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,2440707,https://open.spotify.com/track/0bAkKNCQfWkexHFn7fIKns
2,"Girls Like You (feat. Cardi B)","Maroon 5",1491106,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
3,Mundo,"IV Of Spades",1149887,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
4,2002,Anne-Marie,1117327,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
5,"'Di Na Muli","Janine Teñoso",1084860,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc
6,"Kathang Isip",Ben&Ben,1053317,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
7,Tagpuan,"Moira Dela Torre",978327,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih
8,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,968974,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
9,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",874737,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
10,Rise,"Jonas Blue",840506,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
11,"God is a woman","Ariana Grande",813471,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
12,Nadarang,"Shanti Dope",796308,https://open.spotify.com/track/6LJ1p1h5EcMK4VPeCLDSoF
13,"BBoom BBoom",MOMOLAND,789481,https://open.spotify.com/track/3BPoSr2pO34Aan6alFfVto
14,"Don’t Matter To Me",Drake,775647,https://open.spotify.com/track/36ONiya0OANYknz0GgJmwB
15,"Ocean (feat. Khalid)","Martin Garrix",762122,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
16,"no tears left to cry","Ariana Grande",753523,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
17,13,LANY,682335,https://open.spotify.com/track/0WOvSEVpUGkNufX0w0M06F
18,"Bed (feat. Ariana Grande)","Nicki Minaj",671081,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
19,"Freaky Friday (feat. Chris Brown)","Lil Dicky",652911,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
