,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"A Whole New World (End Title) - From ""Aladdin""",ZAYN,1525349,https://open.spotify.com/track/1iWHabUgUuuKLBa0TzTHfk
2,"I Don't Care (with Justin Bieber)","Ed Sheeran",1494014,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
3,"Kill This Love",BLACKPINK,1263530,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
4,comethru,"Jeremy Zucker",1173066,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
5,Sana,"I Belong to the Zoo",1103264,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
6,"Bagay Tayo",ALLMO$T,1041923,https://open.spotify.com/track/2mwd0LWLBgtQBEOLG96nbU
7,"If I Can't Have You","Shawn Mendes",1028230,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
8,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",1001181,https://open.spotify.com/track/4MsUsFfWseB9M2plGJyuIw
9,"Sa Susunod Na Lang",PDL,949214,https://open.spotify.com/track/34ob61cxp34Sf7KHK6RnSU
10,"Hindi Na Nga","This Band",947902,https://open.spotify.com/track/2RgD3eO4IIGF16rR8Ch8OV
11,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",925036,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
12,"Kahit Ayaw Mo Na","This Band",896703,https://open.spotify.com/track/58grXgbCj7t5ulr0TGLIr9
13,Talk,Khalid,895189,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
14,"Maybe The Night",Ben&Ben,884409,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
15,"Nobody Knows",Russ,857791,https://open.spotify.com/track/1pNAf6W7POwjOD8x8mWf8G
16,"Old Town Road - Remix","Lil Nas X",838202,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
