,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"A Whole New World (End Title) - From ""Aladdin""",ZAYN,1793687,https://open.spotify.com/track/1iWHabUgUuuKLBa0TzTHfk
2,"I Don't Care (with Justin Bieber)","Ed Sheeran",1397644,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
3,"Kill This Love",BLACKPINK,1210017,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
4,comethru,"Jeremy Zucker",1168960,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
5,Sana,"I Belong to the Zoo",1080624,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
6,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",1074723,https://open.spotify.com/track/4MsUsFfWseB9M2plGJyuIw
7,"Bagay Tayo",ALLMO$T,1054012,https://open.spotify.com/track/2mwd0LWLBgtQBEOLG96nbU
8,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1044761,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
9,"Hindi Na Nga","This Band",1023940,https://open.spotify.com/track/2RgD3eO4IIGF16rR8Ch8OV
10,"Sa Susunod Na Lang",PDL,955536,https://open.spotify.com/track/34ob61cxp34Sf7KHK6RnSU
11,"Kahit Ayaw Mo Na","This Band",949404,https://open.spotify.com/track/58grXgbCj7t5ulr0TGLIr9
12,"Boy With Luv (feat. Halsey)",BTS,923580,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
13,"If I Can't Have You","Shawn Mendes",920836,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
14,"Maybe The Night",Ben&Ben,915720,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
15,"Pauwi Nako",PDL,904997,https://open.spotify.com/track/2tzAN1L07SNwnOdgOEeuQr
16,Talk,Khalid,877627,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
17,Dalaga,ALLMO$T,821255,https://open.spotify.com/track/3PLARiBoxCpJFUMZhvV63x
18,"Without Me",Halsey,790769,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
19,"Nobody Knows",Russ,781935,https://open.spotify.com/track/1pNAf6W7POwjOD8x8mWf8G
20,"Love Someone","Lukas Graham",774571,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
21,"Kung 'Di Rin Lang Ikaw","December Avenue",773663,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
22,"Old Town Road - Remix","Lil Nas X",765896,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
23,"bad guy","Billie Eilish",759387,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
24,Bulong,"December Avenue",759257,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
25,"Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack)","December Avenue",747378,https://open.spotify.com/track/24ngpWhBOxKJtIPnzSNX8c
26,"Balang Araw","I Belong to the Zoo",737302,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m
27,"Best Part (feat. Daniel Caesar)",H.E.R.,733172,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
28,"Missin You Crazy",Russ,715238,https://open.spotify.com/track/4ve2uzqdwnHr20G5YgMMqr
29,"A Whole New World - From ""Aladdin""","Darren Espanto",713535,https://open.spotify.com/track/3tWw8jEXsPeZh7zZoidKuh
30,"i'm so tired...",Lauv,712731,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
31,Nobela,"Join The Club",712277,https://open.spotify.com/track/3vGkyQlCw8LklNip0ZUELC
32,"Dancing With A Stranger (with Normani)","Sam Smith",647964,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
33,"Kathang Isip",Ben&Ben,645532,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
34,"Never Really Over","Katy Perry",634580,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
35,Sucker,"Jonas Brothers",627730,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
36,Dahan,"December Avenue",583372,https://open.spotify.com/track/6BxJLJw228OY5BFerPGl7z
37,Paradise,Bazzi,574931,https://open.spotify.com/track/7njKgVl3AnLflRad38o7AG
38,"Filipina Girl","Billy Crawford",570725,https://open.spotify.com/track/7iNMzfw2couNdTNXMYG2IR
39,Buwan,"juan karlos",557294,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2
40,"Who Do You Love","The Chainsmokers",541789,https://open.spotify.com/track/5QiNbIilmMiMBXvaAlf7lN
41,"'Di Na Babalik","This Band",532433,https://open.spotify.com/track/7hoP5NDUXEbmOawvEAsi8h
42,Pagtingin,Ben&Ben,504583,https://open.spotify.com/track/5l9g7py8RCblcvbZgGQgSd
43,"thank u, next","Ariana Grande",497194,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
44,"Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran",495686,https://open.spotify.com/track/543bCW2ruMPmxUBWirQ3MR
45,"Sa Ngalan Ng Pag-Ibig","December Avenue",487779,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
46,"Here With Me",Marshmello,478829,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
47,"I Like Me Better",Lauv,475187,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
48,Easier,"5 Seconds of Summer",458022,https://open.spotify.com/track/4tNXntkAzQ5A2dfYRYGIIQ
49,Earth,"Lil Dicky",455680,https://open.spotify.com/track/2S1LebN6AXXQqJolBxlWgO
50,2002,Anne-Marie,446712,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
51,Undecided,"Chris Brown",411144,https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx
52,"Drugs & The Internet",Lauv,407160,https://open.spotify.com/track/4SHhui9S7lFYGHXikfneGo
53,okay,LANY,406623,https://open.spotify.com/track/1a0Mg4XPdt4EKsUz5beRZY
54,Happier,Marshmello,403286,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
55,"On My Way","Alan Walker",374378,https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq
56,FANCY,TWICE,369240,https://open.spotify.com/track/2FXd6kKCtBIc6UfN1gH1pA
57,Ex,Callalily,368112,https://open.spotify.com/track/7bkAr4WNoTuSjpuh1NRQjm
58,Mundo,"IV Of Spades",362310,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
59,"Kahit Di Mo Alam","December Avenue",344374,https://open.spotify.com/track/6GIzDc4xBUeYHwubWwTrhC
60,"Say You Won't Let Go","James Arthur",338106,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
61,"Beautiful (feat. Camila Cabello)",Bazzi,337995,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
62,"Don't Know What To Do",BLACKPINK,336257,https://open.spotify.com/track/1TaQciB8qqRZ9fxWGhS65X
63,"Malibu Nights",LANY,336038,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl
64,"Bakit Ba Ikaw","Michael Pangilinan",334920,https://open.spotify.com/track/0Vmk6Ebk4QBq7r0VAz2a6s
65,"'Di Na Muli","Janine Teñoso",328453,https://open.spotify.com/track/6p6DiqAPwMX7vdrSo30wgo
66,"7 rings","Ariana Grande",328100,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
67,"Girls Like You (feat. Cardi B)","Maroon 5",325226,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
68,Amatz,"Shanti Dope",313579,https://open.spotify.com/track/59aZ0ioyVrmtdut1KfU5aT
69,"Sweet but Psycho","Ava Max",310802,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
70,"Rewrite The Stars","Zac Efron",304121,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
71,"Bagong Umaga",Agsunta,301709,https://open.spotify.com/track/33NwLcrJHLbENMoDeAPUNi
72,"Find U Again (feat. Camila Cabello)","Mark Ronson",301039,https://open.spotify.com/track/1HpzOCZbNWzxvvXfSGtSrX
73,Tadhana,"Up Dharma Down",294884,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR
74,"Ikaw At Ako","Moira Dela Torre",291998,https://open.spotify.com/track/0gDRtumoR9ZrvAlnniToMz
75,"You Are The Reason","Calum Scott",291406,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
76,Tagpuan,"Moira Dela Torre",289208,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih
