,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Maybe The Night",Ben&Ben,1870368,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
2,Buwan,"juan karlos",1785781,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2
3,"Kung 'Di Rin Lang Ikaw","December Avenue",1715483,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
4,"Malibu Nights",LANY,1664206,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl
5,"Thru These Tears",LANY,1439425,https://open.spotify.com/track/7GbAp0HKPQW7WnFJAzMoRk
6,Sana,"I Belong to the Zoo",1420897,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
7,"Kathang Isip",Ben&Ben,1414865,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
8,"Sa Ngalan Ng Pag-Ibig","December Avenue",1333371,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
9,Happier,Marshmello,1171547,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
10,"I Don't Wanna Love You Anymore",LANY,1101931,https://open.spotify.com/track/7ArrTJ1LwcGAlEO65LUQ7i
11,"Love Someone","Lukas Graham",1042661,https://open.spotify.com/track/2JqnpexlO9dmvjUMCaLCLJ
12,"Thick And Thin",LANY,1033133,https://open.spotify.com/track/3D110t9ctcoOoylXsc3iR8
13,Mundo,"IV Of Spades",1016857,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
14,"Girls Like You (feat. Cardi B)","Maroon 5",926252,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
15,"Beautiful (feat. Camila Cabello)",Bazzi,914043,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
16,"'Di Na Muli","Janine Teñoso",912638,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc
17,2002,Anne-Marie,890253,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
18,"Eastside (with Halsey & Khalid)","benny blanco",770998,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
19,IDGAF,"Dua Lipa",739909,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
20,Weak,"Khel Pangilinan",733961,https://open.spotify.com/track/06cUybZMETs4i3yQO1f7p3
21,"If You See Her",LANY,732129,https://open.spotify.com/track/3coUcc0CDAHz2QwdP7Pee8
22,Better,Khalid,727187,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
23,"This Feeling (feat. Kelsea Ballerini)","The Chainsmokers",714469,https://open.spotify.com/track/15kQGEy89K8deJcZVFEn0N
24,Akala,Marion,682029,https://open.spotify.com/track/2Gh039ZAfydrM5IjiGlvEj
25,"You Are The Reason","Calum Scott",641196,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
26,Ex,Callalily,636426,https://open.spotify.com/track/0GHwNr0lqf8jpc9wesmnHo
27,"Kahit Maputi Na Ang Buhok ko - From ""The Hows Of Us""","Moira Dela Torre",620439,https://open.spotify.com/track/7aW2GrNlteWTwQZxX6LNjT
28,Tagpuan,"Moira Dela Torre",600481,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih
29,"8 Letters","Why Don't We",598756,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt
30,"Be Alright","Dean Lewis",591530,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
31,"The Middle",Zedd,574111,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
32,"Electricity (with Dua Lipa)","Silk City",541017,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
33,"In My Feelings",Drake,516599,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
34,"Midnight Sky","Unique Salonga",509744,https://open.spotify.com/track/5eFzCfsj3d0yWumdEldZwL
35,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",494613,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
36,"There's No Way (feat. Julia Michaels)",Lauv,491636,https://open.spotify.com/track/2hnxrRNzF74mdDzpQZQukQ
37,Bulong,"December Avenue",479959,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
38,"Taking Me Back",LANY,476182,https://open.spotify.com/track/6A9mMKHYdeUJGvQDKChC0C
39,"Let Me Know",LANY,463947,https://open.spotify.com/track/7DMPq3XndRJaj6NTINsLOz
40,"Valentine's Day",LANY,454589,https://open.spotify.com/track/2juRA8DhQePry4eb2LMUMM
41,"No Brainer","DJ Khaled",454199,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
42,"Bakit Ba Ikaw","Michael Pangilinan",451408,https://open.spotify.com/track/0Vmk6Ebk4QBq7r0VAz2a6s
43,BAAM,MOMOLAND,441337,https://open.spotify.com/track/4Is1b37KJY9XVCgzp81FBW
44,Rise,"Jonas Blue",432056,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
45,"Oks Lang","John Roa",431278,https://open.spotify.com/track/2wTxJWt2gA9a1Z94dTnPiI
46,Tadhana,"Up Dharma Down",428020,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR
47,Run,LANY,424673,https://open.spotify.com/track/0QXHHEi0rHMwmkxK5pvc05
48,"Freaky Friday (feat. Chris Brown)","Lil Dicky",423016,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
49,"Say You Won't Let Go","James Arthur",421767,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
50,Leaves,Ben&Ben,413032,https://open.spotify.com/track/6wdCelHrPh7UfliNjwRTUv
51,"God is a woman","Ariana Grande",404558,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
52,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,402893,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
53,Shallow,"Lady Gaga",399530,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
54,"I Like Me Better",Lauv,385326,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
55,Narcissist,"No Rome",381987,https://open.spotify.com/track/4Zft1h1zRfkBqlAo4qEPqp
56,"Super Far",LANY,377340,https://open.spotify.com/track/15ahYSiHAIMxAnujlXVtta
57,"Hanggang Kailan - Umuwi Ka Na Baby","Orange & Lemons",373235,https://open.spotify.com/track/5UhpceEr5XmbVwyoIUIRnh
