,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Kill This Love",BLACKPINK,1723012,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
2,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",1587692,https://open.spotify.com/track/4Sib57MmYGJzSvkW84jTwh
3,"Boy With Luv (feat. Halsey)",BTS,1348659,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
4,"Pauwi Nako",PDL,1233683,https://open.spotify.com/track/2tzAN1L07SNwnOdgOEeuQr
5,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1223326,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
6,Sana,"I Belong to the Zoo",1186152,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
7,"Kahit Ayaw Mo Na","This Band",1141505,https://open.spotify.com/track/58grXgbCj7t5ulr0TGLIr9
8,"Kung 'Di Rin Lang Ikaw","December Avenue",1097628,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
9,Dalaga,ALLMO$T,1088131,https://open.spotify.com/track/3PLARiBoxCpJFUMZhvV63x
10,Talk,Khalid,1009018,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
11,"Maybe The Night",Ben&Ben,977382,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
12,Buwan,"juan karlos",897596,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2
13,"i'm so tired...",Lauv,884698,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
14,"Bagay Tayo",ALLMO$T,858282,https://open.spotify.com/track/2mwd0LWLBgtQBEOLG96nbU
15,Bulong,"December Avenue",857835,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
16,comethru,"Jeremy Zucker",855660,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
17,"Hindi Na Nga","This Band",809077,https://open.spotify.com/track/2RgD3eO4IIGF16rR8Ch8OV
18,"Missin You Crazy",Russ,803168,https://open.spotify.com/track/4ve2uzqdwnHr20G5YgMMqr
19,"Love Someone","Lukas Graham",745338,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
20,"Balang Araw","I Belong to the Zoo",743445,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m
21,Sucker,"Jonas Brothers",728781,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
22,"Kathang Isip",Ben&Ben,717035,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
23,"thank u, next","Ariana Grande",709112,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
24,"Best Part (feat. Daniel Caesar)",H.E.R.,702804,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
25,"bad guy","Billie Eilish",686532,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
26,"Without Me",Halsey,675492,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
27,"Sa Susunod Na Lang",PDL,645824,https://open.spotify.com/track/34ob61cxp34Sf7KHK6RnSU
28,FANCY,TWICE,643474,https://open.spotify.com/track/2FXd6kKCtBIc6UfN1gH1pA
29,"If I Can't Have You","Shawn Mendes",640130,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
30,"Dancing With A Stranger (with Normani)","Sam Smith",634409,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
31,"Malibu Nights",LANY,617521,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl
32,"7 rings","Ariana Grande",613603,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
33,"Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack)","December Avenue",606409,https://open.spotify.com/track/24ngpWhBOxKJtIPnzSNX8c
34,Paradise,Bazzi,603445,https://open.spotify.com/track/7njKgVl3AnLflRad38o7AG
35,"Sa Ngalan Ng Pag-Ibig","December Avenue",602927,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
36,"'Di Na Babalik","This Band",587884,https://open.spotify.com/track/7hoP5NDUXEbmOawvEAsi8h
37,"Ikaw At Ako","Moira Dela Torre",581552,https://open.spotify.com/track/0gDRtumoR9ZrvAlnniToMz
38,"Filipina Girl","Billy Crawford",561778,https://open.spotify.com/track/7iNMzfw2couNdTNXMYG2IR
39,"214 - From ""Alone/Together""","JM De Guzman",560474,https://open.spotify.com/track/0Fh6hgq979963fIxr2VBF2
40,"Nobody Knows",Russ,556931,https://open.spotify.com/track/1pNAf6W7POwjOD8x8mWf8G
41,Earth,"Lil Dicky",551595,https://open.spotify.com/track/2S1LebN6AXXQqJolBxlWgO
42,"Here With Me",Marshmello,528267,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
43,"Don't Know What To Do",BLACKPINK,519220,https://open.spotify.com/track/1TaQciB8qqRZ9fxWGhS65X
44,okay,LANY,518728,https://open.spotify.com/track/1a0Mg4XPdt4EKsUz5beRZY
45,"Sweet but Psycho","Ava Max",518699,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
46,"Please Me","Cardi B",508384,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN
47,"Who Do You Love","The Chainsmokers",491496,https://open.spotify.com/track/5QiNbIilmMiMBXvaAlf7lN
48,"On My Way","Alan Walker",489062,https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq
49,"I Like Me Better",Lauv,469570,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
50,2002,Anne-Marie,465642,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
51,"Drugs & The Internet",Lauv,433272,https://open.spotify.com/track/4SHhui9S7lFYGHXikfneGo
52,Happier,Marshmello,429632,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
53,Undecided,"Chris Brown",415878,https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx
54,"Outta My Head (with John Mayer)",Khalid,406441,https://open.spotify.com/track/09oZ9eXQ2fo6YDrPzJqAoP
