,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"thank u, next","Ariana Grande",2178553,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
2,Buwan,"juan karlos",2127469,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2
3,"Kung 'Di Rin Lang Ikaw","December Avenue",1891738,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
4,Sana,"I Belong to the Zoo",1775734,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
5,"Malibu Nights",LANY,1656623,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl
6,"Maybe The Night",Ben&Ben,1459791,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
7,"Sa Ngalan Ng Pag-Ibig","December Avenue",1384352,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
8,"Kathang Isip",Ben&Ben,1346385,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
9,"Love Someone","Lukas Graham",1246529,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
10,Happier,Marshmello,1059661,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
11,"Thru These Tears",LANY,989918,https://open.spotify.com/track/7GbAp0HKPQW7WnFJAzMoRk
12,"Kiss and Make Up","Dua Lipa",987604,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
13,2002,Anne-Marie,970389,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
14,"Beautiful (feat. Camila Cabello)",Bazzi,946543,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
15,Mundo,"IV Of Spades",935254,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
16,"Girls Like You (feat. Cardi B)","Maroon 5",870957,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
17,Weak,"Khel Pangilinan",857324,https://open.spotify.com/track/06cUybZMETs4i3yQO1f7p3
18,"Kahit Ayaw Mo Na","This Band",838159,https://open.spotify.com/track/5V2AX2WTOHl2FKtftvisV6
19,Bulong,"December Avenue",804438,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
20,"'Di Na Muli","Janine Teñoso",796492,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc
21,"I Don't Wanna Love You Anymore",LANY,744689,https://open.spotify.com/track/7ArrTJ1LwcGAlEO65LUQ7i
22,Better,Khalid,722197,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
23,Ex,Callalily,713196,https://open.spotify.com/track/0GHwNr0lqf8jpc9wesmnHo
24,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",708475,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
25,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",691536,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
26,"Eastside (with Halsey & Khalid)","benny blanco",691464,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
27,"Without Me",Halsey,677935,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
28,IDGAF,"Dua Lipa",669935,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
29,"Bohemian Rhapsody - Remastered 2011",Queen,668128,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
30,"You Are The Reason","Calum Scott",651661,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
31,"Woman Like Me (feat. Nicki Minaj)","Little Mix",629321,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED
32,SOLO,JENNIE,601851,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj
33,"8 Letters","Why Don't We",601544,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt
34,"Thick And Thin",LANY,590209,https://open.spotify.com/track/3D110t9ctcoOoylXsc3iR8
35,Akala,Marion,579364,https://open.spotify.com/track/2Gh039ZAfydrM5IjiGlvEj
36,"This Feeling (feat. Kelsea Ballerini)","The Chainsmokers",574541,https://open.spotify.com/track/6LKYeyLt4G4SlZ6OJwFhVS
37,"Kahit Maputi Na Ang Buhok ko - From ""The Hows Of Us""","Moira Dela Torre",551037,https://open.spotify.com/track/7aW2GrNlteWTwQZxX6LNjT
38,"Midnight Sky","Unique Salonga",522003,https://open.spotify.com/track/5eFzCfsj3d0yWumdEldZwL
39,"Waste It On Me (feat. BTS)","Steve Aoki",517016,https://open.spotify.com/track/2J0X46UkpfLlWbuCXFgDLr
40,"The Middle",Zedd,510032,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
41,POP/STARS,K/DA,503625,https://open.spotify.com/track/5sbooPcNgIE22DwO0VNGUJ
42,"Be Alright","Dean Lewis",464845,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
43,"Oks Lang","John Roa",454835,https://open.spotify.com/track/2wTxJWt2gA9a1Z94dTnPiI
44,"No Brainer","DJ Khaled",448880,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
45,breathin,"Ariana Grande",402782,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
46,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",398121,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
47,Rise,"Jonas Blue",392018,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx
48,Tagpuan,"Moira Dela Torre",390864,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih
49,"Say You Won't Let Go","James Arthur",388990,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
50,Narcissist,"No Rome",388005,https://open.spotify.com/track/4Zft1h1zRfkBqlAo4qEPqp
51,"Bakit Ba Ikaw","Michael Pangilinan",381221,https://open.spotify.com/track/0Vmk6Ebk4QBq7r0VAz2a6s
52,"Freaky Friday (feat. Chris Brown)","Lil Dicky",377874,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
53,"Somebody To Love - Remastered 2011",Queen,377347,https://open.spotify.com/track/6cFZ4PLC19taNlpl9pbGMf
54,"Ruin My Life","Zara Larsson",365090,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
