,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"A Whole New World (End Title) - From ""Aladdin""",ZAYN,1682554,https://open.spotify.com/track/1iWHabUgUuuKLBa0TzTHfk
2,"Kill This Love",BLACKPINK,1388982,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
3,"I Don't Care (with Justin Bieber)","Ed Sheeran",1320342,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
4,Sana,"I Belong to the Zoo",1147587,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
5,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",1126423,https://open.spotify.com/track/4MsUsFfWseB9M2plGJyuIw
6,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1121107,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
7,comethru,"Jeremy Zucker",1085621,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
8,"Kahit Ayaw Mo Na","This Band",1044455,https://open.spotify.com/track/58grXgbCj7t5ulr0TGLIr9
9,"Boy With Luv (feat. Halsey)",BTS,1015872,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
10,"Pauwi Nako",PDL,1014774,https://open.spotify.com/track/2tzAN1L07SNwnOdgOEeuQr
11,"Bagay Tayo",ALLMO$T,969176,https://open.spotify.com/track/2mwd0LWLBgtQBEOLG96nbU
12,"Maybe The Night",Ben&Ben,963603,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
13,"If I Can't Have You","Shawn Mendes",937860,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
14,"Hindi Na Nga","This Band",898920,https://open.spotify.com/track/2RgD3eO4IIGF16rR8Ch8OV
15,Talk,Khalid,890613,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
16,Dalaga,ALLMO$T,888127,https://open.spotify.com/track/3PLARiBoxCpJFUMZhvV63x
17,Bulong,"December Avenue",822335,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
18,"Kung 'Di Rin Lang Ikaw","December Avenue",820299,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
19,"Missin You Crazy",Russ,806656,https://open.spotify.com/track/4ve2uzqdwnHr20G5YgMMqr
20,"bad guy","Billie Eilish",793321,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
21,"i'm so tired...",Lauv,775935,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
22,"Balang Araw","I Belong to the Zoo",749460,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m
23,"Without Me",Halsey,744752,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
24,"Old Town Road - Remix","Lil Nas X",741213,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
25,"Love Someone","Lukas Graham",734502,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
26,"Sa Susunod Na Lang",PDL,724070,https://open.spotify.com/track/34ob61cxp34Sf7KHK6RnSU
27,"Best Part (feat. Daniel Caesar)",H.E.R.,698361,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
28,"Kathang Isip",Ben&Ben,694737,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
29,"Nobody Knows",Russ,683551,https://open.spotify.com/track/1pNAf6W7POwjOD8x8mWf8G
30,Sucker,"Jonas Brothers",665256,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
31,Nobela,"Join The Club",664906,https://open.spotify.com/track/3vGkyQlCw8LklNip0ZUELC
