,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Kung 'Di Rin Lang Ikaw","December Avenue",1191225,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
2,"Girls Like You (feat. Cardi B)","Maroon 5",1114096,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
3,"In My Feelings",Drake,1101659,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
4,"Thru These Tears",LANY,1094006,https://open.spotify.com/track/4gB61mP4tNChn4LgfquMhi
5,"Kathang Isip",Ben&Ben,1072372,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
6,Mundo,"IV Of Spades",1006244,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
7,"Sa Ngalan Ng Pag-Ibig","December Avenue",1006027,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
8,"No Brainer","DJ Khaled",946579,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
9,"'Di Na Muli","Janine Teñoso",934383,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc
10,"Eastside (with Halsey & Khalid)","benny blanco",928943,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
11,"Beautiful (feat. Camila Cabello)",Bazzi,915859,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
12,2002,Anne-Marie,746227,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
13,Tagpuan,"Moira Dela Torre",726486,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih
14,"Happy Now",Zedd,725737,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
15,Rise,"Jonas Blue",694683,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
16,BAAM,MOMOLAND,668317,https://open.spotify.com/track/4Is1b37KJY9XVCgzp81FBW
17,IDGAF,"Dua Lipa",644323,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
