,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"thank u, next","Ariana Grande",2265356,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
2,Buwan,"juan karlos",2150179,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2
3,"Kung 'Di Rin Lang Ikaw","December Avenue",1817103,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
4,Sana,"I Belong to the Zoo",1758221,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
5,"Malibu Nights",LANY,1732789,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl
6,"Maybe The Night",Ben&Ben,1504289,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
7,"Sa Ngalan Ng Pag-Ibig","December Avenue",1357221,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
8,"Kathang Isip",Ben&Ben,1336857,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
9,"Love Someone","Lukas Graham",1262976,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
10,Happier,Marshmello,1114168,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
11,2002,Anne-Marie,1083250,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
12,"Kiss and Make Up","Dua Lipa",1055179,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
13,"Thru These Tears",LANY,1007621,https://open.spotify.com/track/7GbAp0HKPQW7WnFJAzMoRk
14,Mundo,"IV Of Spades",947953,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
15,Weak,"Khel Pangilinan",872808,https://open.spotify.com/track/06cUybZMETs4i3yQO1f7p3
16,"Beautiful (feat. Camila Cabello)",Bazzi,859108,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
17,"Girls Like You (feat. Cardi B)","Maroon 5",848503,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
18,"'Di Na Muli","Janine Teñoso",796772,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc
19,Bulong,"December Avenue",748063,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
20,"I Don't Wanna Love You Anymore",LANY,741213,https://open.spotify.com/track/7ArrTJ1LwcGAlEO65LUQ7i
21,Better,Khalid,730012,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
22,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",726096,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
