,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Sana,"I Belong to the Zoo",1686747,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
2,"Kahit Ayaw Mo Na","This Band",1650887,https://open.spotify.com/track/5V2AX2WTOHl2FKtftvisV6
3,Buwan,"juan karlos",1641858,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2
4,"Kung 'Di Rin Lang Ikaw","December Avenue",1574867,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
5,"thank u, next","Ariana Grande",1572180,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
6,"Sa Ngalan Ng Pag-Ibig","December Avenue",1488970,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
7,"Kathang Isip",Ben&Ben,1246664,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
8,"Maybe The Night",Ben&Ben,1195963,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
9,"Malibu Nights",LANY,1172942,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl
10,"Love Someone","Lukas Graham",1146772,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
11,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1107559,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
12,Happier,Marshmello,1060944,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
13,Bulong,"December Avenue",991534,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
14,2002,Anne-Marie,979130,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
15,"Girls Like You (feat. Cardi B)","Maroon 5",951244,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
16,Mundo,"IV Of Spades",941367,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
17,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",910112,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
18,"Beautiful (feat. Camila Cabello)",Bazzi,845959,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
19,"Without Me",Halsey,792749,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
