,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Kahit Ayaw Mo Na","This Band",1821512,https://open.spotify.com/track/5V2AX2WTOHl2FKtftvisV6
2,"Kung 'Di Rin Lang Ikaw","December Avenue",1798526,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
3,Buwan,"juan karlos",1732068,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2
4,Sana,"I Belong to the Zoo",1716229,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
5,"Sa Ngalan Ng Pag-Ibig","December Avenue",1684168,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
6,"thank u, next","Ariana Grande",1562466,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
7,"Kathang Isip",Ben&Ben,1389291,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
8,"Love Someone","Lukas Graham",1296623,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
9,"Maybe The Night",Ben&Ben,1249878,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
10,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1240647,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
11,"Malibu Nights",LANY,1220512,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl
12,Bulong,"December Avenue",1169633,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
13,"Hindi Na Nga","This Band",995152,https://open.spotify.com/track/50hVyhZM4nvizfrQe38F3l
14,"Girls Like You (feat. Cardi B)","Maroon 5",981148,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
15,Happier,Marshmello,977128,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
16,2002,Anne-Marie,935916,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
17,"Without Me",Halsey,921490,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
18,"Kahit Di Mo Alam","December Avenue",884708,https://open.spotify.com/track/6GIzDc4xBUeYHwubWwTrhC
19,Mundo,"IV Of Spades",876026,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
20,"Beautiful (feat. Camila Cabello)",Bazzi,845797,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
21,"Rewrite The Stars (with James Arthur & Anne-Marie)","James Arthur",842486,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV
22,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",836979,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
23,"Best Part (feat. Daniel Caesar)",H.E.R.,804712,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
