,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
24,Weak,"Khel Pangilinan",782147,https://open.spotify.com/track/06cUybZMETs4i3yQO1f7p3
25,"Thru These Tears",LANY,755621,https://open.spotify.com/track/7GbAp0HKPQW7WnFJAzMoRk
26,"'Di Na Muli","Janine Teñoso",733874,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc
27,"Eastside (with Halsey & Khalid)","benny blanco",728816,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
28,"Balang Araw","I Belong to the Zoo",718531,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m
29,Ex,Callalily,681295,https://open.spotify.com/track/0GHwNr0lqf8jpc9wesmnHo
30,imagine,"Ariana Grande",637122,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F
31,"You Are The Reason","Calum Scott",630707,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
32,SOLO,JENNIE,630579,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj
33,Wow.,"Post Malone",630482,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
34,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",623387,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
35,IDGAF,"Dua Lipa",610445,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
36,"8 Letters","Why Don't We",596488,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt
37,Better,Khalid,593419,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
38,Tagpuan,"Moira Dela Torre",589692,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih
39,"I Don't Wanna Love You Anymore",LANY,569016,https://open.spotify.com/track/7ArrTJ1LwcGAlEO65LUQ7i
40,"This Feeling","The Chainsmokers",550878,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
41,"Kiss and Make Up","Dua Lipa",549669,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
42,"I Like Me Better",Lauv,546526,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
43,"High Hopes","Panic! At The Disco",523851,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
44,Akala,Marion,498673,https://open.spotify.com/track/2Gh039ZAfydrM5IjiGlvEj
45,"Saturday Nights",Khalid,493158,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
46,Undecided,"Chris Brown",491068,https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx
47,"Midnight Sky","Unique Salonga",486993,https://open.spotify.com/track/5eFzCfsj3d0yWumdEldZwL
48,"Sweet but Psycho","Ava Max",477944,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
49,"Thick And Thin",LANY,475269,https://open.spotify.com/track/3D110t9ctcoOoylXsc3iR8
50,"Ruin My Life","Zara Larsson",457707,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
51,"Dancing With A Stranger (with Normani)","Sam Smith",447095,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
52,"Say You Won't Let Go","James Arthur",434685,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
53,"Pauwi Nako",PDL,430167,https://open.spotify.com/track/2tzAN1L07SNwnOdgOEeuQr
54,"Missin You Crazy",Russ,410394,https://open.spotify.com/track/4ve2uzqdwnHr20G5YgMMqr
55,"Pasensya Ka Na","Silent Sanctuary",407529,https://open.spotify.com/track/0YyM8aEdbjGfLWPn6fdcn7
56,"Switch It Up",Lavaado,404891,https://open.spotify.com/track/0Xq3TsWq8bCm7myxpBm0rh
57,"Too Good At Goodbyes","Sam Smith",389851,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
58,"The Middle",Zedd,384162,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
59,"Bakit Ba Ikaw","Michael Pangilinan",376325,https://open.spotify.com/track/0Vmk6Ebk4QBq7r0VAz2a6s
60,Tadhana,"Up Dharma Down",374307,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR
61,"Rewrite The Stars","Zac Efron",361905,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
62,"Kung Wala Ka",Hale,352723,https://open.spotify.com/track/4JSDhJVmo2UqdF7nxbyenn
63,Hiling,"Mark Carpio",343901,https://open.spotify.com/track/6xQs6y6CpDqK9VKCktApEL
64,Sila,SUD,331175,https://open.spotify.com/track/2IMODbij0lZ5CuAjZi0IDE
65,"Be Alright","Dean Lewis",328853,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
66,"Hanggang Kailan - Umuwi Ka Na Baby","Orange & Lemons",320641,https://open.spotify.com/track/5UhpceEr5XmbVwyoIUIRnh
67,Leaves,Ben&Ben,320359,https://open.spotify.com/track/6wdCelHrPh7UfliNjwRTUv
68,Narcissist,"No Rome",319665,https://open.spotify.com/track/4Zft1h1zRfkBqlAo4qEPqp
69,Ours,Ben&Ben,312161,https://open.spotify.com/track/2Bb9MjP3gY9oaUXXJLFDVi
70,Migraine,Moonstar88,309267,https://open.spotify.com/track/7sW3f7PqDV7BQ7qqeVBJIA
71,Dalaga,ALLMO$T,304389,https://open.spotify.com/track/6fWTVk29yvFEqE5VY6Gslk
72,"Oks Lang","John Roa",304342,https://open.spotify.com/track/2wTxJWt2gA9a1Z94dTnPiI
73,"no tears left to cry","Ariana Grande",299082,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
74,Perfect,"Ed Sheeran",292955,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
75,Tagu-Taguan,"Moira Dela Torre",285419,https://open.spotify.com/track/2iOnWSWcChoGmUufbrQ00e
76,"Tell Me Where It Hurts",MYMP,276975,https://open.spotify.com/track/6C2nrsOlb3jOUGcJAmPrTA
77,Magbalik,Callalily,274752,https://open.spotify.com/track/5zMR44ZH4KVZj4FlhTj3SE
78,Sandali,Because,274349,https://open.spotify.com/track/1emnGTAsF4zSaWidgvK08I
79,"Di Makatulog",SUD,271993,https://open.spotify.com/track/2ZiNCGDMapQzMtnPRVOKZI
80,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,269513,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
81,"SICKO MODE","Travis Scott",269429,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
82,Hope,"The Chainsmokers",266411,https://open.spotify.com/track/4BiiOzZCrXEzHRLYcYFiD5
83,"Ang Huling El Bimbo",Eraserheads,257410,https://open.spotify.com/track/135ggzbjOogZ75IQ0LQi8r
84,"What Lovers Do","Maroon 5",255088,https://open.spotify.com/track/0WdGQhoAP2LBsqr5Jhit2g
85,"Dying Inside To Hold You - From "" All Of You"" Official Soundtrack","Darren Espanto",254366,https://open.spotify.com/track/7xty20N3DMTVOVtDIS2Jov
86,"With a Smile","South Border",253472,https://open.spotify.com/track/6XmskR1cMfgys1W7dExmgi
87,Nadarang,"Shanti Dope",252790,https://open.spotify.com/track/6LJ1p1h5EcMK4VPeCLDSoF
88,"One and Only","Parokya Ni Edgar",252451,https://open.spotify.com/track/3OpGUlDmRUXh0NkIYWoIlD
89,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",249927,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
90,"Love Shot",EXO,248705,https://open.spotify.com/track/33NAYATbWRoo5RuEP30JBZ
91,"Super Far",LANY,247561,https://open.spotify.com/track/15ahYSiHAIMxAnujlXVtta
92,"Better Now","Post Malone",246271,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
93,Happier,"Ed Sheeran",239194,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
94,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",238659,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
95,Someday,Nina,238284,https://open.spotify.com/track/1MkiRsYBkXbXvdiYvTTiQT
96,"Kahit Maputi Na Ang Buhok ko - From ""The Hows Of Us""","Moira Dela Torre",236513,https://open.spotify.com/track/7aW2GrNlteWTwQZxX6LNjT
97,"YES or YES",TWICE,234665,https://open.spotify.com/track/184XtKkzoAl83quIarUAJP
98,Starving,"Hailee Steinfeld",232234,https://open.spotify.com/track/6875MeXyCW0wLyT72Eetmo
99,"Malaya (Camp Sawi Original Motion Picture Soundtrack)","Moira Dela Torre",231768,https://open.spotify.com/track/6M21eWbEw74XDdoQsNIinq
100,Shallow,"Lady Gaga",231384,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
101,"Eroplanong Papel","December Avenue",230000,https://open.spotify.com/track/0dJPIIlTmVM0lambbFgAYq
102,Photograph,"Ed Sheeran",229689,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
103,"Lost in the Fire",Gesaffelstein,228974,https://open.spotify.com/track/7wFybC8jBH3zE139OpCtpG
104,"Miss Independent",Ne-Yo,226177,https://open.spotify.com/track/34ceTg8ChN5HjrqiIYCn9Q
105,"Sa Dulo Ng Walang Hanggan - Sa Ngalan Ng Pag-Ibig Piano Version","December Avenue",225985,https://open.spotify.com/track/1mTROTnvFi7uxGciL319Kb
106,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",225378,https://open.spotify.com/track/5Gu0PDLN4YJeW75PpBSg9p
107,Closer,"The Chainsmokers",224583,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
108,"Kung Akin Ang Mundo","Erik Santos",221743,https://open.spotify.com/track/0W2kzUI1K0tT0RpggJZ4Js
109,"So Sick",Ne-Yo,221721,https://open.spotify.com/track/6brl7bwOHmGFkNw3MBqssT
110,"Way Back Home (feat. Conor Maynard) - Sam Feldt Edit",SHAUN,221565,https://open.spotify.com/track/1ZLrDPgR7mvuTco3rQK8Pk
111,Sa'yo,"Silent Sanctuary",219033,https://open.spotify.com/track/29xs643Q96uQLD8f7SxYYw
112,"Freaky Friday (feat. Chris Brown)","Lil Dicky",217724,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
113,"Fire On Fire - From ""Watership Down""","Sam Smith",215412,https://open.spotify.com/track/5rFj8OzffT0iggSjcBaeND
114,"Bad Liar","Imagine Dragons",214441,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
115,Youngblood,"5 Seconds of Summer",214437,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
116,"Dating Tayo","TJ Monterde",213790,https://open.spotify.com/track/267RumTt5KeLBGl2KWxBL0
117,ILYSB,LANY,213578,https://open.spotify.com/track/2btKtacOXuMtC9WjcNRvAA
118,"Psycho (feat. Ty Dolla $ign)","Post Malone",212964,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
119,"Bohemian Rhapsody - Remastered 2011",Queen,212467,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
120,Someday,"Leanne & Naara",210280,https://open.spotify.com/track/6sl4KzZ9PRb8xTzjYIrHAP
121,Stickwitu,"The Pussycat Dolls",209179,https://open.spotify.com/track/4NjR63Up0uMkQBlKvlZd1l
122,"Capital Letters","Hailee Steinfeld",207829,https://open.spotify.com/track/2bllegdYt2WoYdbRZyJ730
123,Trampoline,SHAED,207736,https://open.spotify.com/track/0lsRatBUs9HNIZAmoGABzk
124,"New Rules","Dua Lipa",206725,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O
125,"I'm a Mess","Bebe Rexha",206445,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
126,"Take A Bow - Main",Rihanna,204378,https://open.spotify.com/track/39afswHs17v53znQm1gDTY
127,"Havana (feat. Young Thug)","Camila Cabello",203718,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
128,"ILYSB - STRIPPED",LANY,202126,https://open.spotify.com/track/3Dkvp3L4w0uJFYfIPa8E9H
129,"There's No Way (feat. Julia Michaels)",Lauv,201944,https://open.spotify.com/track/2hnxrRNzF74mdDzpQZQukQ
130,"Huling Sayaw - Acoustic",Kamikazee,201835,https://open.spotify.com/track/4UgtdWy4dm7vMVIupUbtMm
131,"I'm Yours","Jason Mraz",199604,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
132,"Empty Space","James Arthur",199454,https://open.spotify.com/track/1uru26I2JKd2mQZt0MDCUe
133,"A Thousand Years","Christina Perri",198692,https://open.spotify.com/track/6lanRgr6wXibZr8KgzXxBl
134,"Hanggang Kailan","Michael Pangilinan",197651,https://open.spotify.com/track/01YEqVPCm0vqRLA9w43bic
135,breathin,"Ariana Grande",197358,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
136,"Why Can't It Be","Kaye Cal",196599,https://open.spotify.com/track/0zFYa7NIpKhmom8zrZx7Ga
137,Anino,"Up Dharma Down",196395,https://open.spotify.com/track/4KmkG7fVe8bNBUpCbKCdJQ
138,"As If It's Your Last",BLACKPINK,196120,https://open.spotify.com/track/1Zyd6zQnC6XIIzmg3hP7Ot
139,Lucky,"Jason Mraz",195931,https://open.spotify.com/track/2qLMf6TuEC3ruGJg4SMMN6
140,"Woman Like Me (feat. Nicki Minaj)","Little Mix",195077,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED
141,"Treat You Better","Shawn Mendes",194918,https://open.spotify.com/track/3QGsuHI8jO1Rx4JWLUh9jd
142,"You And Me",Lifehouse,193653,https://open.spotify.com/track/0815caqt2Lytro5EIzMufT
143,"The Day You Said Goodnight - Acoustic Version",Hale,193265,https://open.spotify.com/track/6CHpr3pY2MbJ5y1076UDnI
144,"In My Feelings",Drake,190765,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
145,Mine,Bazzi,190644,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
146,"She Will Be Loved - Radio Mix","Maroon 5",189355,https://open.spotify.com/track/4llK75pXNWZz6KAho2Gp16
147,"when the party's over","Billie Eilish",188769,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
148,"Going Bad (feat. Drake)","Meek Mill",188639,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
149,"This I Promise You",*NSYNC,188362,https://open.spotify.com/track/2Dp2LRrY71XIfLe3co2Qnh
150,"That's What I Like","Bruno Mars",188234,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
151,13,LANY,187838,https://open.spotify.com/track/0WOvSEVpUGkNufX0w0M06F
152,Iris,"The Goo Goo Dolls",184621,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs
153,"Happy Now",Zedd,183657,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
154,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",182272,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
155,"Young Dumb & Broke",Khalid,181909,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
156,Rainbow,"South Border",181848,https://open.spotify.com/track/3VcVQmMivq2ISfKUmIuvMK
157,"Shape of My Heart","Backstreet Boys",181270,https://open.spotify.com/track/35o9a4iAfLl5jRmqMX9c1D
158,"In My Blood","Shawn Mendes",181243,https://open.spotify.com/track/2QZ7WLBE8h2y1Y5Fb8RYbH
159,Delicate,"Taylor Swift",181084,https://open.spotify.com/track/5sOch9Cf4uxcMtwFzMtNqQ
160,"The Day You Said Goodnight",Hale,179169,https://open.spotify.com/track/0HZ3OUVrGHxttD2EuHqRm3
161,"Finesse - Remix; feat. Cardi B","Bruno Mars",178990,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
162,"BBoom BBoom",MOMOLAND,178545,https://open.spotify.com/track/3BPoSr2pO34Aan6alFfVto
163,Demonyo,"juan karlos",177810,https://open.spotify.com/track/1WXs4O7mBxXglHJPwYweHq
164,"FOREVER YOUNG - KR Ver.",BLACKPINK,177805,https://open.spotify.com/track/57Enap29zKl7NGRdDJjkjA
165,"Look Back At It","A Boogie Wit da Hoodie",177800,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
166,comethru,"Jeremy Zucker",177665,https://open.spotify.com/track/6fFTPGGItuEpjwXRUIr4rk
167,"LOVE SCENARIO",iKON,175654,https://open.spotify.com/track/6qAzAmPBUpGrk7XADZHR5k
168,Sundo,Imago,175360,https://open.spotify.com/track/2OqQDFY4MgzkAoAZ67CscA
169,BAAM,MOMOLAND,174902,https://open.spotify.com/track/4Is1b37KJY9XVCgzp81FBW
170,"Ako Muna","Yeng Constantino",174584,https://open.spotify.com/track/5jLEQLkEU8Sb2fG5UQcwDM
171,"One Last Time","Ariana Grande",173196,https://open.spotify.com/track/1CAksvEO6oRHd9bBKWAfuY
172,Sino,"Unique Salonga",172929,https://open.spotify.com/track/637uCaC8im9B7Pe2O2Z53w
173,"Like I'm Gonna Lose You (feat. John Legend)","Meghan Trainor",172780,https://open.spotify.com/track/2YlZnw2ikdb837oKMKjBkW
174,"Lucid Dreams","Juice WRLD",172259,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
175,"Before I Let You Go",Freestyle,172163,https://open.spotify.com/track/1VvFtp71ibaXiHxurBlXuw
176,"Versace on the Floor","Bruno Mars",170599,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP
177,"Nothing's Gonna Stop Us Now - From ""Crazy Beautiful You""",Morissette,170561,https://open.spotify.com/track/1qoXYfWILyuN0EatImGlma
178,"Out of My League","Stephen Speaks",170353,https://open.spotify.com/track/2PkQeKapTNUjwpKLf8aJlq
179,Breakeven,"The Script",170195,https://open.spotify.com/track/1a1i2IwXnUN0PjllVEhA4B
180,"Just the Way You Are","Bruno Mars",170046,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
181,"Waste It On Me (feat. BTS)","Steve Aoki",169583,https://open.spotify.com/track/2J0X46UkpfLlWbuCXFgDLr
182,"Thinking out Loud","Ed Sheeran",168955,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
183,"Ipagpatawad Mo",Mayonnaise,168700,https://open.spotify.com/track/7IqUmDJ2GjaOqrzDCXhrV5
184,Harana,"Parokya Ni Edgar",166633,https://open.spotify.com/track/3gyEt1vswIEbpQqBs18Lha
185,"Maybe This Time - From ""Maybe This Time""","Sarah Geronimo",166466,https://open.spotify.com/track/0Dljpp52vCmtXi0E94qjfo
186,"No Brainer","DJ Khaled",166366,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
187,"What is Love?",TWICE,165558,https://open.spotify.com/track/5Ek40FyMPprcvtyZDjqylX
188,"Lie To Me","5 Seconds of Summer",164918,https://open.spotify.com/track/3567eNX2L3RkkMkwspncMH
189,"Till My Heartaches End - From ""The Significant Other""","KZ Tandingan",164662,https://open.spotify.com/track/4isDU5tDNqFLQ5xQ9NgPmz
190,"Bleeding Love","Leona Lewis",164376,https://open.spotify.com/track/7wZUrN8oemZfsEd1CGkbXE
191,"Your Song (My One and Only You)","Julie Anne San Jose",163501,https://open.spotify.com/track/5Seh4HfqT1mFnRJQswqz51
192,"I Want It That Way","Backstreet Boys",163354,https://open.spotify.com/track/47BBI51FKFwOMlIiX6m8ya
193,Prinsesa,6cyclemind,163352,https://open.spotify.com/track/2S80c51YXgJQhkhX603fMA
194,"'Di Na Muli",Itchyworms,162445,https://open.spotify.com/track/0rkML0CSX3wteVwUh5cspv
195,FRIENDS,Marshmello,162260,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
196,"Shape of You","Ed Sheeran",162211,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
197,"The Scientist",Coldplay,161416,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle
198,"I Don’t Wanna Live Forever (Fifty Shades Darker)",ZAYN,161046,https://open.spotify.com/track/6yIdwnpDHufLWgQcveTPMk
199,"Lost In Japan","Shawn Mendes",160758,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV
200,"Wake Up in the Sky","Gucci Mane",160754,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
