,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"thank u, next","Ariana Grande",2095916,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
2,Buwan,"juan karlos",2075504,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2
3,"Kung 'Di Rin Lang Ikaw","December Avenue",1867808,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
4,Sana,"I Belong to the Zoo",1784778,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
5,"Malibu Nights",LANY,1573273,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl
6,"Sa Ngalan Ng Pag-Ibig","December Avenue",1482485,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
7,"Maybe The Night",Ben&Ben,1424819,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
8,"Kathang Isip",Ben&Ben,1315419,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
9,"Love Someone","Lukas Graham",1272165,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
10,"Kahit Ayaw Mo Na","This Band",1086952,https://open.spotify.com/track/5V2AX2WTOHl2FKtftvisV6
11,Happier,Marshmello,1058427,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
12,"Thru These Tears",LANY,1015008,https://open.spotify.com/track/7GbAp0HKPQW7WnFJAzMoRk
13,"Kiss and Make Up","Dua Lipa",964693,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
14,Mundo,"IV Of Spades",949085,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
15,2002,Anne-Marie,941690,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
16,"Beautiful (feat. Camila Cabello)",Bazzi,923538,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
17,"Girls Like You (feat. Cardi B)","Maroon 5",857402,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
18,Weak,"Khel Pangilinan",844048,https://open.spotify.com/track/06cUybZMETs4i3yQO1f7p3
19,"'Di Na Muli","Janine Teñoso",815764,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc
20,Bulong,"December Avenue",781741,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
21,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",777754,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
22,Ex,Callalily,761008,https://open.spotify.com/track/0GHwNr0lqf8jpc9wesmnHo
23,Better,Khalid,744664,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
24,"I Don't Wanna Love You Anymore",LANY,735882,https://open.spotify.com/track/7ArrTJ1LwcGAlEO65LUQ7i
25,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",735152,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
26,SOLO,JENNIE,705730,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj
27,"Without Me",Halsey,684984,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
28,"Eastside (with Halsey & Khalid)","benny blanco",669262,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
29,"8 Letters","Why Don't We",661607,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt
30,IDGAF,"Dua Lipa",626383,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
31,"Woman Like Me (feat. Nicki Minaj)","Little Mix",606917,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED
32,"You Are The Reason","Calum Scott",603126,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
33,"Thick And Thin",LANY,601004,https://open.spotify.com/track/3D110t9ctcoOoylXsc3iR8
34,Akala,Marion,600846,https://open.spotify.com/track/2Gh039ZAfydrM5IjiGlvEj
35,"Bohemian Rhapsody - Remastered 2011",Queen,596947,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
36,"This Feeling (feat. Kelsea Ballerini)","The Chainsmokers",582455,https://open.spotify.com/track/6LKYeyLt4G4SlZ6OJwFhVS
37,"Kahit Maputi Na Ang Buhok ko - From ""The Hows Of Us""","Moira Dela Torre",547303,https://open.spotify.com/track/7aW2GrNlteWTwQZxX6LNjT
38,"Midnight Sky","Unique Salonga",537781,https://open.spotify.com/track/5eFzCfsj3d0yWumdEldZwL
39,"Rewrite The Stars (with James Arthur & Anne-Marie)","James Arthur",523241,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV
40,"The Middle",Zedd,517094,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
41,"Waste It On Me (feat. BTS)","Steve Aoki",514322,https://open.spotify.com/track/2J0X46UkpfLlWbuCXFgDLr
42,"Oks Lang","John Roa",470559,https://open.spotify.com/track/2wTxJWt2gA9a1Z94dTnPiI
43,"Be Alright","Dean Lewis",467764,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
44,Ours,Ben&Ben,467092,https://open.spotify.com/track/2Bb9MjP3gY9oaUXXJLFDVi
45,breathin,"Ariana Grande",434993,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
46,Tagpuan,"Moira Dela Torre",416801,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih
47,"No Brainer","DJ Khaled",410782,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
48,Rise,"Jonas Blue",407502,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx
49,"Freaky Friday (feat. Chris Brown)","Lil Dicky",390672,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
50,"Say You Won't Let Go","James Arthur",389166,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
51,Narcissist,"No Rome",375765,https://open.spotify.com/track/4Zft1h1zRfkBqlAo4qEPqp
52,"Ruin My Life","Zara Larsson",370738,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
53,"Kahit Di Mo Alam","December Avenue",368166,https://open.spotify.com/track/6GIzDc4xBUeYHwubWwTrhC
54,"Bakit Ba Ikaw","Michael Pangilinan",365829,https://open.spotify.com/track/0Vmk6Ebk4QBq7r0VAz2a6s
55,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",344382,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
56,Tadhana,"Up Dharma Down",339949,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR
57,"Pasensya Ka Na","Silent Sanctuary",339006,https://open.spotify.com/track/0YyM8aEdbjGfLWPn6fdcn7
58,"I Like Me Better",Lauv,336761,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
59,Hiling,"Mark Carpio",329668,https://open.spotify.com/track/6xQs6y6CpDqK9VKCktApEL
60,Leaves,Ben&Ben,326532,https://open.spotify.com/track/6wdCelHrPh7UfliNjwRTUv
61,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",319424,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
62,"come out and play","Billie Eilish",318927,https://open.spotify.com/track/7wC5eZcFS1Q1BsQ35DU6H4
63,"Too Good At Goodbyes","Sam Smith",316558,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
64,"Kung Wala Ka",Hale,309358,https://open.spotify.com/track/4JSDhJVmo2UqdF7nxbyenn
65,"Bad Liar","Imagine Dragons",307539,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
66,"YES or YES",TWICE,306109,https://open.spotify.com/track/184XtKkzoAl83quIarUAJP
67,"Best Part (feat. Daniel Caesar)",H.E.R.,305773,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
68,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,305243,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
69,"SICKO MODE","Travis Scott",304248,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
70,Sila,SUD,298144,https://open.spotify.com/track/2IMODbij0lZ5CuAjZi0IDE
71,"Somebody To Love - Remastered 2011",Queen,292974,https://open.spotify.com/track/6cFZ4PLC19taNlpl9pbGMf
72,"Happy Now",Kygo,286573,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
73,"Empty Space","James Arthur",285651,https://open.spotify.com/track/1uru26I2JKd2mQZt0MDCUe
74,"Hindi Na Nga","This Band",283592,https://open.spotify.com/track/50hVyhZM4nvizfrQe38F3l
75,"Sweet but Psycho","Ava Max",278772,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
76,"Another One Bites The Dust - Remastered 2011",Queen,273550,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
77,"no tears left to cry","Ariana Grande",268830,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
78,"Hanggang Kailan - Umuwi Ka Na Baby","Orange & Lemons",267052,https://open.spotify.com/track/5UhpceEr5XmbVwyoIUIRnh
79,"Rewrite The Stars","Zac Efron",265441,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
80,"Love Of My Life - Remastered 2011",Queen,264673,https://open.spotify.com/track/4YJUTdZ0Pgl0ZeNyHYXeLd
81,Magbalik,Callalily,263928,https://open.spotify.com/track/5zMR44ZH4KVZj4FlhTj3SE
82,"Super Far",LANY,263235,https://open.spotify.com/track/15ahYSiHAIMxAnujlXVtta
