,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"I Don't Care (with Justin Bieber)","Ed Sheeran",1476508,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
2,"A Whole New World (End Title) - From ""Aladdin""",ZAYN,1319994,https://open.spotify.com/track/1iWHabUgUuuKLBa0TzTHfk
3,"Kill This Love",BLACKPINK,1138727,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
4,Sana,"I Belong to the Zoo",1089433,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
5,comethru,"Jeremy Zucker",1067292,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
6,"You Need To Calm Down","Taylor Swift",1064610,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS
7,"If I Can't Have You","Shawn Mendes",1014392,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
8,"Bagay Tayo",ALLMO$T,1013239,https://open.spotify.com/track/2mwd0LWLBgtQBEOLG96nbU
9,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",995988,https://open.spotify.com/track/4MsUsFfWseB9M2plGJyuIw
10,"Patawad, Paalam","Moira Dela Torre",951965,https://open.spotify.com/track/14BG5B1EJSCyNpZt096xXc
11,"Sa Susunod Na Lang",PDL,937465,https://open.spotify.com/track/34ob61cxp34Sf7KHK6RnSU
12,"Hindi Na Nga","This Band",899802,https://open.spotify.com/track/2RgD3eO4IIGF16rR8Ch8OV
13,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",891488,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
14,"Maybe The Night",Ben&Ben,889836,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
15,"Never Really Over","Katy Perry",880853,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
16,Talk,Khalid,860670,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
17,"Old Town Road - Remix","Lil Nas X",852984,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
18,"Kahit Ayaw Mo Na","This Band",834199,https://open.spotify.com/track/58grXgbCj7t5ulr0TGLIr9
19,"Nobody Knows",Russ,814537,https://open.spotify.com/track/1pNAf6W7POwjOD8x8mWf8G
20,Dahan,"December Avenue",776560,https://open.spotify.com/track/6BxJLJw228OY5BFerPGl7z
21,"Kung 'Di Rin Lang Ikaw","December Avenue",761785,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
22,"Love Someone","Lukas Graham",734922,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
23,"Pauwi Nako",PDL,726350,https://open.spotify.com/track/2tzAN1L07SNwnOdgOEeuQr
24,"Best Part (feat. Daniel Caesar)",H.E.R.,703814,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
25,"Missin You Crazy",Russ,685138,https://open.spotify.com/track/4ve2uzqdwnHr20G5YgMMqr
26,"Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack)","December Avenue",683111,https://open.spotify.com/track/24ngpWhBOxKJtIPnzSNX8c
27,Bulong,"December Avenue",678357,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
28,"Without Me",Halsey,674066,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
29,"'Di Na Babalik","This Band",660341,https://open.spotify.com/track/7hoP5NDUXEbmOawvEAsi8h
30,"i'm so tired...",Lauv,657469,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
31,"Balang Araw","I Belong to the Zoo",646730,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m
32,"Boy With Luv (feat. Halsey)",BTS,640173,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
33,Pagtingin,Ben&Ben,634717,https://open.spotify.com/track/5l9g7py8RCblcvbZgGQgSd
34,Dalaga,ALLMO$T,633468,https://open.spotify.com/track/3PLARiBoxCpJFUMZhvV63x
35,"Kathang Isip",Ben&Ben,630895,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
36,"A Whole New World - From ""Aladdin""","Darren Espanto",618422,https://open.spotify.com/track/3tWw8jEXsPeZh7zZoidKuh
37,Nobela,"Join The Club",578840,https://open.spotify.com/track/3vGkyQlCw8LklNip0ZUELC
38,"Dancing With A Stranger (with Normani)","Sam Smith",575556,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
