,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Señorita,"Shawn Mendes",2658872,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik
2,"I Don't Care (with Justin Bieber)","Ed Sheeran",1692221,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
3,"Beautiful People (feat. Khalid)","Ed Sheeran",1434582,https://open.spotify.com/track/4evmHXcjt3bTUHD1cvny97
4,Sana,"I Belong to the Zoo",1217014,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
5,comethru,"Jeremy Zucker",1214075,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
6,"A Whole New World (End Title) - From ""Aladdin""",ZAYN,1159434,https://open.spotify.com/track/1iWHabUgUuuKLBa0TzTHfk
7,"Sa Susunod Na Lang",PDL,1157786,https://open.spotify.com/track/34ob61cxp34Sf7KHK6RnSU
8,"Bagay Tayo",ALLMO$T,1022316,https://open.spotify.com/track/2mwd0LWLBgtQBEOLG96nbU
9,"Hindi Na Nga","This Band",1000845,https://open.spotify.com/track/2RgD3eO4IIGF16rR8Ch8OV
10,"Never Really Over","Katy Perry",999389,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
11,"Old Town Road - Remix","Lil Nas X",983073,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
12,Dahan,"December Avenue",960470,https://open.spotify.com/track/6BxJLJw228OY5BFerPGl7z
13,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",929160,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
14,"Kill This Love",BLACKPINK,904915,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
15,"You Need To Calm Down","Taylor Swift",875473,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS
16,"'Di Na Babalik","This Band",871715,https://open.spotify.com/track/7hoP5NDUXEbmOawvEAsi8h
17,Talk,Khalid,867035,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
18,"Nobody Knows",Russ,866052,https://open.spotify.com/track/1pNAf6W7POwjOD8x8mWf8G
19,"Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack)","December Avenue",865586,https://open.spotify.com/track/24ngpWhBOxKJtIPnzSNX8c
20,"Maybe The Night",Ben&Ben,862585,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
21,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",837920,https://open.spotify.com/track/4MsUsFfWseB9M2plGJyuIw
22,"If I Can't Have You","Shawn Mendes",836349,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
23,"Kung 'Di Rin Lang Ikaw","December Avenue",823900,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
24,"Kahit Ayaw Mo Na","This Band",814693,https://open.spotify.com/track/58grXgbCj7t5ulr0TGLIr9
25,"Call You Mine (with Bebe Rexha)","The Chainsmokers",778628,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR
26,"Patawad, Paalam","Moira Dela Torre",768846,https://open.spotify.com/track/14BG5B1EJSCyNpZt096xXc
27,Bulong,"December Avenue",744882,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
28,Wrong,"Luh Kel",715180,https://open.spotify.com/track/3EludUFeAoJAwSixWGG5Wg
29,"Goodbyes (Feat. Young Thug)","Post Malone",714174,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
30,"Missin You Crazy",Russ,700252,https://open.spotify.com/track/4ve2uzqdwnHr20G5YgMMqr
31,"Pauwi Nako",PDL,697360,https://open.spotify.com/track/2tzAN1L07SNwnOdgOEeuQr
32,"Kathang Isip",Ben&Ben,671893,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
33,Pagtingin,Ben&Ben,649886,https://open.spotify.com/track/5l9g7py8RCblcvbZgGQgSd
34,"Best Part (feat. Daniel Caesar)",H.E.R.,647335,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
35,Sanctuary,Joji,647035,https://open.spotify.com/track/3xaugmCyXrVkrDTXbFkMW3
36,"Malibu Nights",LANY,644834,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl
37,"Balang Araw","I Belong to the Zoo",631945,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m
38,"i'm so tired...",Lauv,628266,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
39,"Love Someone","Lukas Graham",626697,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
40,Dalaga,ALLMO$T,602577,https://open.spotify.com/track/3PLARiBoxCpJFUMZhvV63x
41,"Filipina Girl","Billy Crawford",594785,https://open.spotify.com/track/7iNMzfw2couNdTNXMYG2IR
42,"Boy With Luv (feat. Halsey)",BTS,587611,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
43,"Without Me",Halsey,562386,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
44,"Dancing With A Stranger (with Normani)","Sam Smith",561965,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
45,"bad guy","Billie Eilish",552865,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
46,"Best Part of Me (feat. YEBBA)","Ed Sheeran",551436,https://open.spotify.com/track/5ug4vqGZ3eisGhY1IsziNX
47,Paradise,Bazzi,541263,https://open.spotify.com/track/7njKgVl3AnLflRad38o7AG
48,Nobela,"Join The Club",535230,https://open.spotify.com/track/3vGkyQlCw8LklNip0ZUELC
49,"Sad Forever",Lauv,506703,https://open.spotify.com/track/4a5zacCsHLtMC2mcxkqWwn
50,"Sa Ngalan Ng Pag-Ibig","December Avenue",506524,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
51,"I Like Me Better",Lauv,463220,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
52,Buwan,"juan karlos",455769,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2
53,"Civil War",Russ,424469,https://open.spotify.com/track/5tmu5pAFHkUSl8Fo8ncyA4
54,2002,Anne-Marie,419501,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
55,"Heartbeat (BTS World Original Soundtrack)",BTS,418322,https://open.spotify.com/track/5EgYDyMDCi8X0zDydTF7Rb
56,"Here With Me",Marshmello,417932,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
57,"Say You Won't Let Go","James Arthur",376877,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
58,Mundo,"IV Of Spades",367693,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
59,"thank u, next","Ariana Grande",350761,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
60,"Could I Love You Any More (feat. Jason Mraz)","Reneé Dominique",350282,https://open.spotify.com/track/6TbDpqKCksZNJjriFhPum8
61,"One Thing Right - feat. Kane Brown",Marshmello,342618,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
62,"Post Malone (feat. RANI)","Sam Feldt",341862,https://open.spotify.com/track/0qc4QlcCxVTGyShurEv1UU
63,FANCY,TWICE,341831,https://open.spotify.com/track/2FXd6kKCtBIc6UfN1gH1pA
64,Panini,"Lil Nas X",340540,https://open.spotify.com/track/6fTt0CH2t0mdeB2N9XFG5r
65,"Kahit Di Mo Alam","December Avenue",333333,https://open.spotify.com/track/6GIzDc4xBUeYHwubWwTrhC
66,okay,LANY,330477,https://open.spotify.com/track/1a0Mg4XPdt4EKsUz5beRZY
67,"Bakit Ba Ikaw","Michael Pangilinan",325636,https://open.spotify.com/track/0Vmk6Ebk4QBq7r0VAz2a6s
68,"Beautiful (feat. Camila Cabello)",Bazzi,315385,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
69,Tadhana,"Up Dharma Down",312037,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR
70,"Don't Check On Me (feat. Justin Bieber & Ink)","Chris Brown",311643,https://open.spotify.com/track/7ILEWkpfdK6AjH2D7jppWk
71,"Tagpuan - Duet Version","Moira Dela Torre",310701,https://open.spotify.com/track/1bBDyj7kZdMOAMX3czsWFg
72,"Kung Wala Ka",Hale,308208,https://open.spotify.com/track/4JSDhJVmo2UqdF7nxbyenn
73,"Too Good At Goodbyes","Sam Smith",303598,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
74,Happier,Marshmello,303573,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
75,"'Di Na Muli","Janine Teñoso",303456,https://open.spotify.com/track/6p6DiqAPwMX7vdrSo30wgo
76,Sucker,"Jonas Brothers",300495,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
77,Easier,"5 Seconds of Summer",299473,https://open.spotify.com/track/4tNXntkAzQ5A2dfYRYGIIQ
78,"Find U Again (feat. Camila Cabello)","Mark Ronson",296070,https://open.spotify.com/track/5Uw7Dut2lZfexn3Y09swpf
79,"Girls Like You (feat. Cardi B)","Maroon 5",295030,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
80,Tagpuan,"Moira Dela Torre",286233,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih
81,"Hanggang Kailan - Umuwi Ka Na Baby","Orange & Lemons",284839,https://open.spotify.com/track/5UhpceEr5XmbVwyoIUIRnh
82,"You Are The Reason","Calum Scott",284838,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
83,"Pasensya Ka Na","Silent Sanctuary",284605,https://open.spotify.com/track/0YyM8aEdbjGfLWPn6fdcn7
84,"On A Roll","Ashley O",276374,https://open.spotify.com/track/56JyMaElW79S7TDWh1Zw1m
85,"Someone You Loved","Lewis Capaldi",274751,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
86,"7 rings","Ariana Grande",269985,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
87,Weak,"Khel Pangilinan",265317,https://open.spotify.com/track/06cUybZMETs4i3yQO1f7p3
88,Migraine,Moonstar88,261465,https://open.spotify.com/track/7sW3f7PqDV7BQ7qqeVBJIA
89,IDGAF,"Dua Lipa",258560,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
90,"Shape of My Heart","Backstreet Boys",258438,https://open.spotify.com/track/35o9a4iAfLl5jRmqMX9c1D
91,"Truth Hurts",Lizzo,257821,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
92,Magbalik,Callalily,255559,https://open.spotify.com/track/5zMR44ZH4KVZj4FlhTj3SE
93,"Only Human","Jonas Brothers",255284,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
94,"Ang Huling El Bimbo",Eraserheads,253719,https://open.spotify.com/track/135ggzbjOogZ75IQ0LQi8r
95,Stickwitu,"The Pussycat Dolls",251382,https://open.spotify.com/track/4NjR63Up0uMkQBlKvlZd1l
96,Perfect,"Ed Sheeran",249822,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
97,"I'm Yours","Jason Mraz",249199,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
98,"The Day You Said Goodnight",Hale,246975,https://open.spotify.com/track/0HZ3OUVrGHxttD2EuHqRm3
99,"Eastside (with Halsey & Khalid)","benny blanco",246396,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
100,Lucky,"Jason Mraz",245287,https://open.spotify.com/track/2qLMf6TuEC3ruGJg4SMMN6
101,"Thru These Tears",LANY,244636,https://open.spotify.com/track/7GbAp0HKPQW7WnFJAzMoRk
