,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Kill This Love",BLACKPINK,2707361,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
2,"Pauwi Nako",PDL,1701150,https://open.spotify.com/track/2tzAN1L07SNwnOdgOEeuQr
3,"Kahit Ayaw Mo Na","This Band",1552248,https://open.spotify.com/track/5V2AX2WTOHl2FKtftvisV6
4,Dalaga,ALLMO$T,1544987,https://open.spotify.com/track/3sm9FJhwOjsdzrfRgIf1ZK
5,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1521170,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
6,Sana,"I Belong to the Zoo",1359488,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
7,Buwan,"juan karlos",1339279,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2
8,"Kung 'Di Rin Lang Ikaw","December Avenue",1243157,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
9,"Hindi Na Nga","This Band",1164457,https://open.spotify.com/track/50hVyhZM4nvizfrQe38F3l
10,Bulong,"December Avenue",1027097,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
11,"Missin You Crazy",Russ,1021196,https://open.spotify.com/track/4ve2uzqdwnHr20G5YgMMqr
12,"Maybe The Night",Ben&Ben,984144,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
13,"i'm so tired...",Lauv,960064,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
14,"Sa Ngalan Ng Pag-Ibig","December Avenue",910372,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
15,"Balang Araw","I Belong to the Zoo",901355,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m
16,"Don't Know What To Do",BLACKPINK,896945,https://open.spotify.com/track/1TaQciB8qqRZ9fxWGhS65X
17,"Best Part (feat. Daniel Caesar)",H.E.R.,831333,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
18,Talk,Khalid,820171,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
19,"Love Someone","Lukas Graham",815298,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
20,"Malibu Nights",LANY,806305,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl
21,"thank u, next","Ariana Grande",786117,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
22,Sucker,"Jonas Brothers",774594,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
23,"Dancing With A Stranger (with Normani)","Sam Smith",756375,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
24,"Kathang Isip",Ben&Ben,748754,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
25,"Kahit Di Mo Alam","December Avenue",743905,https://open.spotify.com/track/6GIzDc4xBUeYHwubWwTrhC
26,"214 - From ""Alone/Together""","JM De Guzman",737606,https://open.spotify.com/track/0Fh6hgq979963fIxr2VBF2
27,"7 rings","Ariana Grande",700789,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
28,"Kick It",BLACKPINK,687321,https://open.spotify.com/track/5R0cvR5BMFkLomChhmcCzr
29,"Ikaw At Ako","Moira Dela Torre",666849,https://open.spotify.com/track/0gDRtumoR9ZrvAlnniToMz
30,"'Di Na Babalik","This Band",659437,https://open.spotify.com/track/5S4T2Pdr8qhetF3UhkwuMj
31,"bad guy","Billie Eilish",651417,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
32,comethru,"Jeremy Zucker",644278,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
33,"Without Me",Halsey,615469,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
34,"Please Me","Cardi B",614162,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN
35,Happier,Marshmello,612235,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
36,"Bagay Tayo",ALLMO$T,608749,https://open.spotify.com/track/3u9tIlAnygQGNJ5VuSvTfi
37,"Hope Not",BLACKPINK,599451,https://open.spotify.com/track/32107DdzIGbVs9Pi54MuRS
38,Undecided,"Chris Brown",590225,https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx
39,"Beautiful (feat. Camila Cabello)",Bazzi,578914,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
40,"Here With Me",Marshmello,574633,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
41,"Who Do You Love","The Chainsmokers",544806,https://open.spotify.com/track/7ql71hBakyMi0Lxiq3Mugs
42,"Sweet but Psycho","Ava Max",538412,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
43,"break up with your girlfriend, i'm bored","Ariana Grande",532323,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
44,2002,Anne-Marie,510458,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
45,"Kapit - From ""Alone / Together""","Armi Millare",487855,https://open.spotify.com/track/02GtNoUv85fOPEaCTlpYzr
46,"Thick And Thin",LANY,469078,https://open.spotify.com/track/3D110t9ctcoOoylXsc3iR8
47,"Filipina Girl","Billy Crawford",466256,https://open.spotify.com/track/66ZVMnlIAvGM6NIZJ3xweN
48,"I Like Me Better",Lauv,465740,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
49,"Outta My Head (with John Mayer)",Khalid,458152,https://open.spotify.com/track/09oZ9eXQ2fo6YDrPzJqAoP
50,Mundo,"IV Of Spades",455792,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
51,"DDU-DU DDU-DU - Remix",BLACKPINK,453446,https://open.spotify.com/track/7tXQdx76iQVFeaBGDzXpZ2
52,Tagpuan,"Moira Dela Torre",451880,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih
53,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",434917,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
54,"MONOPOLY (with Victoria Monét)","Ariana Grande",422729,https://open.spotify.com/track/6tsOcBnaKgzK22yEiqRh8P
55,"'Di Na Muli","Janine Teñoso",415817,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc
56,"Girls Like You (feat. Cardi B)","Maroon 5",414951,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
57,"Nobody Knows",Russ,412012,https://open.spotify.com/track/1pNAf6W7POwjOD8x8mWf8G
58,"Pangako - Recorded at Kodama Studios, Philippines","Silent Sanctuary",382646,https://open.spotify.com/track/5CThcDR9mycL3TjNKQ2qFk
59,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","benny blanco",378017,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt
60,"DDU-DU DDU-DU",BLACKPINK,372016,https://open.spotify.com/track/2aI2k39nfa3KFsa4JclQzw
61,Dahan,"December Avenue",350453,https://open.spotify.com/track/6BxJLJw228OY5BFerPGl7z
62,SOLO,JENNIE,348208,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj
63,"Thru These Tears",LANY,341970,https://open.spotify.com/track/7GbAp0HKPQW7WnFJAzMoRk
64,"Sa Susunod Na Lang",PDL,340743,https://open.spotify.com/track/34ob61cxp34Sf7KHK6RnSU
65,"Pasensya Ka Na","Silent Sanctuary",337240,https://open.spotify.com/track/0YyM8aEdbjGfLWPn6fdcn7
66,"달라달라 (DALLA DALLA)",ITZY,327012,https://open.spotify.com/track/0GU5GuJQQEnnREO2FxnVPT
67,"Naaalala Ka / Maging Sino Ka Man (Spotify Jams: OPM Love Songs - Recorded at Kodama Studios, Philippines)","Moira Dela Torre",324780,https://open.spotify.com/track/3efCao3RLbsz52LQ66o8Ac
68,"Say You Won't Let Go","James Arthur",321347,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
69,Tadhana,"Up Dharma Down",314909,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR
70,"Kung Wala Ka",Hale,312336,https://open.spotify.com/track/4JSDhJVmo2UqdF7nxbyenn
71,"As If It's Your Last",BLACKPINK,309646,https://open.spotify.com/track/1Zyd6zQnC6XIIzmg3hP7Ot
72,Weak,"Khel Pangilinan",309574,https://open.spotify.com/track/06cUybZMETs4i3yQO1f7p3
73,Better,Khalid,307509,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
74,"Too Good At Goodbyes","Sam Smith",304153,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
75,IDGAF,"Dua Lipa",301216,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
76,"Bakit Ba Ikaw","Michael Pangilinan",300366,https://open.spotify.com/track/0Vmk6Ebk4QBq7r0VAz2a6s
77,Sandali,Because,296021,https://open.spotify.com/track/1emnGTAsF4zSaWidgvK08I
78,Nadarang,"Shanti Dope",289849,https://open.spotify.com/track/6LJ1p1h5EcMK4VPeCLDSoF
79,"Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack)","December Avenue",288984,https://open.spotify.com/track/24ngpWhBOxKJtIPnzSNX8c
80,"My Bad",Khalid,288941,https://open.spotify.com/track/2XKFnwB6djxrJCjR3PdeRb
81,"Big Plans","Why Don't We",288619,https://open.spotify.com/track/6Yx181fZzA0YE2EkUsYruq
82,"This Feeling","The Chainsmokers",287430,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
83,"Eastside (with Halsey & Khalid)","benny blanco",286312,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
84,Migraine,Moonstar88,284509,https://open.spotify.com/track/7sW3f7PqDV7BQ7qqeVBJIA
85,Ex,Callalily,283744,https://open.spotify.com/track/0GHwNr0lqf8jpc9wesmnHo
86,"Hanggang Kailan - Umuwi Ka Na Baby","Orange & Lemons",268293,https://open.spotify.com/track/5UhpceEr5XmbVwyoIUIRnh
87,"BOOMBAYAH - KR Ver.",BLACKPINK,267184,https://open.spotify.com/track/1qAPA8TooLVEqAZ58fhcrt
88,"You Are The Reason","Calum Scott",265778,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
89,Shallow,"Lady Gaga",264641,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
90,"Ang Huling El Bimbo",Eraserheads,264505,https://open.spotify.com/track/135ggzbjOogZ75IQ0LQi8r
91,Wow.,"Post Malone",264195,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
92,"Kung Ayaw Mo Wag Mo - Recorded at Kodama Studios, Philippines","IV Of Spades",262692,https://open.spotify.com/track/0BEpSEV02FM1N5gcw2fsJC
93,"The Middle",Zedd,262013,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
