,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"thank u, next","Ariana Grande",2347362,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
2,Buwan,"juan karlos",1965685,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2
3,"Kung 'Di Rin Lang Ikaw","December Avenue",1799355,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
4,Sana,"I Belong to the Zoo",1777691,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
5,"Sa Ngalan Ng Pag-Ibig","December Avenue",1517511,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
6,"Malibu Nights",LANY,1486530,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl
7,"Maybe The Night",Ben&Ben,1407407,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
8,"Kahit Ayaw Mo Na","This Band",1336697,https://open.spotify.com/track/5V2AX2WTOHl2FKtftvisV6
9,"Kathang Isip",Ben&Ben,1283073,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
10,"Love Someone","Lukas Graham",1128928,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
11,Happier,Marshmello,1077704,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
12,2002,Anne-Marie,980752,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
13,"Thru These Tears",LANY,965405,https://open.spotify.com/track/7GbAp0HKPQW7WnFJAzMoRk
14,"Beautiful (feat. Camila Cabello)",Bazzi,907832,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
15,Mundo,"IV Of Spades",895715,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
16,Weak,"Khel Pangilinan",876160,https://open.spotify.com/track/06cUybZMETs4i3yQO1f7p3
17,"Kiss and Make Up","Dua Lipa",864895,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
18,Bulong,"December Avenue",860624,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
19,"Girls Like You (feat. Cardi B)","Maroon 5",838625,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
20,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",813020,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
21,"'Di Na Muli","Janine Teñoso",787590,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc
22,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",763451,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
23,"Without Me",Halsey,752687,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
24,Ex,Callalily,742761,https://open.spotify.com/track/0GHwNr0lqf8jpc9wesmnHo
25,Better,Khalid,714996,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
26,"I Don't Wanna Love You Anymore",LANY,709594,https://open.spotify.com/track/7ArrTJ1LwcGAlEO65LUQ7i
27,SOLO,JENNIE,694888,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj
28,"8 Letters","Why Don't We",688515,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt
29,"Eastside (with Halsey & Khalid)","benny blanco",664991,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
30,"You Are The Reason","Calum Scott",639947,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
31,IDGAF,"Dua Lipa",637217,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
32,"Rewrite The Stars (with James Arthur & Anne-Marie)","James Arthur",602489,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV
33,"Thick And Thin",LANY,591715,https://open.spotify.com/track/3D110t9ctcoOoylXsc3iR8
34,"This Feeling (feat. Kelsea Ballerini)","The Chainsmokers",572763,https://open.spotify.com/track/6LKYeyLt4G4SlZ6OJwFhVS
35,"Woman Like Me (feat. Nicki Minaj)","Little Mix",558087,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED
36,Akala,Marion,537345,https://open.spotify.com/track/2Gh039ZAfydrM5IjiGlvEj
37,"Midnight Sky","Unique Salonga",522229,https://open.spotify.com/track/5eFzCfsj3d0yWumdEldZwL
38,"Hindi Na Nga","This Band",521523,https://open.spotify.com/track/50hVyhZM4nvizfrQe38F3l
39,"The Middle",Zedd,510969,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
40,"Waste It On Me (feat. BTS)","Steve Aoki",487574,https://open.spotify.com/track/2J0X46UkpfLlWbuCXFgDLr
41,"Bohemian Rhapsody - Remastered 2011",Queen,472041,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
42,"Be Alright","Dean Lewis",450296,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
43,Ours,Ben&Ben,435639,https://open.spotify.com/track/2Bb9MjP3gY9oaUXXJLFDVi
44,Tagpuan,"Moira Dela Torre",429030,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih
45,breathin,"Ariana Grande",424433,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
46,Narcissist,"No Rome",404295,https://open.spotify.com/track/4Zft1h1zRfkBqlAo4qEPqp
47,"No Brainer","DJ Khaled",396379,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
48,"Balang Araw","I Belong to the Zoo",396160,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m
49,Rise,"Jonas Blue",395684,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx
50,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",394879,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
51,"Freaky Friday (feat. Chris Brown)","Lil Dicky",386475,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
52,"Kahit Di Mo Alam","December Avenue",385996,https://open.spotify.com/track/6GIzDc4xBUeYHwubWwTrhC
53,"Say You Won't Let Go","James Arthur",367445,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
54,"Kahit Maputi Na Ang Buhok ko - From ""The Hows Of Us""","Moira Dela Torre",351659,https://open.spotify.com/track/7aW2GrNlteWTwQZxX6LNjT
55,"I Like Me Better",Lauv,345072,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
56,"Ruin My Life","Zara Larsson",343428,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
57,"Bakit Ba Ikaw","Michael Pangilinan",340069,https://open.spotify.com/track/0Vmk6Ebk4QBq7r0VAz2a6s
58,"Pasensya Ka Na","Silent Sanctuary",337385,https://open.spotify.com/track/0YyM8aEdbjGfLWPn6fdcn7
59,Tadhana,"Up Dharma Down",331188,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR
60,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",326516,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
61,"All I Want for Christmas Is You","Mariah Carey",326056,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
62,Leaves,Ben&Ben,320597,https://open.spotify.com/track/6wdCelHrPh7UfliNjwRTUv
63,Hiling,"Mark Carpio",317224,https://open.spotify.com/track/6xQs6y6CpDqK9VKCktApEL
64,"Too Good At Goodbyes","Sam Smith",315457,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
65,"Oks Lang","John Roa",313899,https://open.spotify.com/track/2wTxJWt2gA9a1Z94dTnPiI
66,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,305411,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
67,"Best Part (feat. Daniel Caesar)",H.E.R.,302940,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
68,"Bad Liar","Imagine Dragons",302361,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
69,"come out and play","Billie Eilish",297907,https://open.spotify.com/track/7wC5eZcFS1Q1BsQ35DU6H4
70,"Kung Wala Ka",Hale,289890,https://open.spotify.com/track/4JSDhJVmo2UqdF7nxbyenn
71,Sila,SUD,287708,https://open.spotify.com/track/2IMODbij0lZ5CuAjZi0IDE
72,"Empty Space","James Arthur",286908,https://open.spotify.com/track/1uru26I2JKd2mQZt0MDCUe
73,"no tears left to cry","Ariana Grande",282779,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
74,"YES or YES",TWICE,282037,https://open.spotify.com/track/184XtKkzoAl83quIarUAJP
75,"Santa Tell Me","Ariana Grande",270617,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
76,"Hanggang Kailan - Umuwi Ka Na Baby","Orange & Lemons",267955,https://open.spotify.com/track/5UhpceEr5XmbVwyoIUIRnh
77,"Saturday Nights",Khalid,265299,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
78,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,261727,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
79,"Rewrite The Stars","Zac Efron",261469,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
80,"SICKO MODE","Travis Scott",260197,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
81,"RBB (Really Bad Boy)","Red Velvet",257838,https://open.spotify.com/track/4xjVP2Vogo0C72o6Nevq0W
82,"Super Far",LANY,257472,https://open.spotify.com/track/15ahYSiHAIMxAnujlXVtta
83,"There's No Way (feat. Julia Michaels)",Lauv,257001,https://open.spotify.com/track/2hnxrRNzF74mdDzpQZQukQ
84,"Happy Now",Kygo,256816,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
85,Perfect,"Ed Sheeran",255440,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
86,"Di Makatulog",SUD,253792,https://open.spotify.com/track/2ZiNCGDMapQzMtnPRVOKZI
87,Magbalik,Callalily,251041,https://open.spotify.com/track/5zMR44ZH4KVZj4FlhTj3SE
88,Photograph,"Ed Sheeran",246363,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
89,Migraine,Moonstar88,242064,https://open.spotify.com/track/7sW3f7PqDV7BQ7qqeVBJIA
90,"So Sick",Ne-Yo,239413,https://open.spotify.com/track/6brl7bwOHmGFkNw3MBqssT
91,"Switch It Up",Lavaado,239154,https://open.spotify.com/track/0Xq3TsWq8bCm7myxpBm0rh
92,ILYSB,LANY,238155,https://open.spotify.com/track/2btKtacOXuMtC9WjcNRvAA
93,"Sweet but Psycho","Ava Max",237157,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
94,Closer,"The Chainsmokers",229558,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
95,Happier,"Ed Sheeran",227298,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
96,"Take A Bow - Main",Rihanna,226674,https://open.spotify.com/track/39afswHs17v53znQm1gDTY
97,"Somebody To Love - Remastered 2011",Queen,226409,https://open.spotify.com/track/6cFZ4PLC19taNlpl9pbGMf
98,"With a Smile","South Border",225244,https://open.spotify.com/track/6XmskR1cMfgys1W7dExmgi
99,Sandali,Because,223716,https://open.spotify.com/track/1emnGTAsF4zSaWidgvK08I
100,"New Rules","Dua Lipa",223648,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O
101,"The Day You Said Goodnight - Acoustic Version",Hale,221583,https://open.spotify.com/track/6CHpr3pY2MbJ5y1076UDnI
102,"What Lovers Do","Maroon 5",221114,https://open.spotify.com/track/0WdGQhoAP2LBsqr5Jhit2g
