,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"thank u, next","Ariana Grande",1728596,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
2,Buwan,"juan karlos",1714211,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2
3,"Kung 'Di Rin Lang Ikaw","December Avenue",1692739,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
4,"Kahit Ayaw Mo Na","This Band",1590178,https://open.spotify.com/track/5V2AX2WTOHl2FKtftvisV6
5,Sana,"I Belong to the Zoo",1546184,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
6,"Sa Ngalan Ng Pag-Ibig","December Avenue",1316691,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
7,"Malibu Nights",LANY,1218166,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl
8,"Kathang Isip",Ben&Ben,1177321,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
9,"Maybe The Night",Ben&Ben,1136035,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
10,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1080483,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
11,"Love Someone","Lukas Graham",1053660,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
12,Happier,Marshmello,1040795,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
13,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",1001309,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
14,"Santa Tell Me","Ariana Grande",991706,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
15,2002,Anne-Marie,928051,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
16,Mundo,"IV Of Spades",927232,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
17,"Girls Like You (feat. Cardi B)","Maroon 5",884574,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
18,"All I Want for Christmas Is You","Mariah Carey",876938,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
19,Bulong,"December Avenue",855467,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
20,"Beautiful (feat. Camila Cabello)",Bazzi,826392,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
21,"Thru These Tears",LANY,797322,https://open.spotify.com/track/7GbAp0HKPQW7WnFJAzMoRk
22,"Kiss and Make Up","Dua Lipa",745484,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
23,"Without Me",Halsey,720310,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
24,Weak,"Khel Pangilinan",712937,https://open.spotify.com/track/06cUybZMETs4i3yQO1f7p3
25,"'Di Na Muli","Janine Teñoso",674983,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc
26,"Rewrite The Stars (with James Arthur & Anne-Marie)","James Arthur",634217,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV
27,imagine,"Ariana Grande",634161,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F
28,Ex,Callalily,603039,https://open.spotify.com/track/0GHwNr0lqf8jpc9wesmnHo
29,"Best Part (feat. Daniel Caesar)",H.E.R.,598375,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
30,"Eastside (with Halsey & Khalid)","benny blanco",594594,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
31,IDGAF,"Dua Lipa",594483,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
32,"Kahit Di Mo Alam","December Avenue",585616,https://open.spotify.com/track/6GIzDc4xBUeYHwubWwTrhC
33,SOLO,JENNIE,584759,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj
34,"Hindi Na Nga","This Band",572685,https://open.spotify.com/track/50hVyhZM4nvizfrQe38F3l
35,"You Are The Reason","Calum Scott",553052,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
36,Better,Khalid,548208,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
37,"Balang Araw","I Belong to the Zoo",537876,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m
38,"I Don't Wanna Love You Anymore",LANY,526583,https://open.spotify.com/track/7ArrTJ1LwcGAlEO65LUQ7i
39,"I Like Me Better",Lauv,514848,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
40,"8 Letters","Why Don't We",488721,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt
41,"Ruin My Life","Zara Larsson",486661,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
42,"This Feeling","The Chainsmokers",479515,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
43,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",479460,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
44,Tagpuan,"Moira Dela Torre",476066,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih
45,"Last Christmas",Wham!,434187,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
46,"Midnight Sky","Unique Salonga",431766,https://open.spotify.com/track/5eFzCfsj3d0yWumdEldZwL
47,"Thick And Thin",LANY,428318,https://open.spotify.com/track/3D110t9ctcoOoylXsc3iR8
48,Akala,Marion,409195,https://open.spotify.com/track/2Gh039ZAfydrM5IjiGlvEj
49,"Be Alright","Dean Lewis",389289,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
50,"Jingle Bell Rock","Bobby Helms",387922,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
51,"Pasensya Ka Na","Silent Sanctuary",386129,https://open.spotify.com/track/0YyM8aEdbjGfLWPn6fdcn7
52,"The Middle",Zedd,372129,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
53,"Say You Won't Let Go","James Arthur",366964,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
54,"Switch It Up",Lavaado,356610,https://open.spotify.com/track/0Xq3TsWq8bCm7myxpBm0rh
55,"Saturday Nights",Khalid,354292,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
