,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Kung 'Di Rin Lang Ikaw","December Avenue",1948012,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
2,"Kahit Ayaw Mo Na","This Band",1872833,https://open.spotify.com/track/5V2AX2WTOHl2FKtftvisV6
3,Sana,"I Belong to the Zoo",1785608,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
4,Buwan,"juan karlos",1687630,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2
5,"Sa Ngalan Ng Pag-Ibig","December Avenue",1533722,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
6,"thank u, next","Ariana Grande",1495338,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
7,"Kathang Isip",Ben&Ben,1398916,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
8,"Love Someone","Lukas Graham",1331510,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
9,"7 rings","Ariana Grande",1303697,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF
10,"Maybe The Night",Ben&Ben,1296955,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
11,Bulong,"December Avenue",1213048,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
12,"Malibu Nights",LANY,1191444,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl
13,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1135723,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
14,"Hindi Na Nga","This Band",1025285,https://open.spotify.com/track/50hVyhZM4nvizfrQe38F3l
15,Happier,Marshmello,985532,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
16,2002,Anne-Marie,929103,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
17,"Without Me",Halsey,919052,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
18,"Girls Like You (feat. Cardi B)","Maroon 5",900312,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
19,Mundo,"IV Of Spades",891386,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
20,"Best Part (feat. Daniel Caesar)",H.E.R.,859406,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
21,"Kahit Di Mo Alam","December Avenue",845454,https://open.spotify.com/track/6GIzDc4xBUeYHwubWwTrhC
22,"Beautiful (feat. Camila Cabello)",Bazzi,819796,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
23,"Dancing With A Stranger (with Normani)","Sam Smith",817540,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
24,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",810444,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
25,"Rewrite The Stars (with James Arthur & Anne-Marie)","James Arthur",792251,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV
26,Tagpuan,"Moira Dela Torre",779989,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih
27,"Balang Araw","I Belong to the Zoo",733527,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m
28,"Thru These Tears",LANY,730826,https://open.spotify.com/track/7GbAp0HKPQW7WnFJAzMoRk
29,Weak,"Khel Pangilinan",721841,https://open.spotify.com/track/06cUybZMETs4i3yQO1f7p3
30,"'Di Na Muli","Janine Teñoso",690256,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc
31,Ex,Callalily,667980,https://open.spotify.com/track/0GHwNr0lqf8jpc9wesmnHo
32,"You Are The Reason","Calum Scott",666044,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
33,Undecided,"Chris Brown",662591,https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx
34,Wow.,"Post Malone",659151,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
35,"Eastside (with Halsey & Khalid)","benny blanco",658840,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
36,"Pauwi Nako",PDL,656959,https://open.spotify.com/track/2tzAN1L07SNwnOdgOEeuQr
37,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",645882,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
38,imagine,"Ariana Grande",641026,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F
39,SOLO,JENNIE,586134,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj
40,"8 Letters","Why Don't We",582845,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt
41,"This Feeling","The Chainsmokers",573611,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
42,"I Don't Wanna Love You Anymore",LANY,546689,https://open.spotify.com/track/7ArrTJ1LwcGAlEO65LUQ7i
43,"I Like Me Better",Lauv,532040,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
44,Better,Khalid,530398,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
45,"Ikaw At Ako","Moira Dela Torre",519090,https://open.spotify.com/track/0gDRtumoR9ZrvAlnniToMz
46,"High Hopes","Panic! At The Disco",503614,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
47,"Sweet but Psycho","Ava Max",495711,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
48,"Saturday Nights",Khalid,488051,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
49,"Kiss and Make Up","Dua Lipa",476832,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
50,"Missin You Crazy",Russ,464427,https://open.spotify.com/track/4ve2uzqdwnHr20G5YgMMqr
51,IDGAF,"Dua Lipa",422159,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
52,"Say You Won't Let Go","James Arthur",418508,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
53,"Pasensya Ka Na","Silent Sanctuary",390225,https://open.spotify.com/track/0YyM8aEdbjGfLWPn6fdcn7
54,"Too Good At Goodbyes","Sam Smith",382270,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
55,Tadhana,"Up Dharma Down",377273,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR
56,"Kung Wala Ka",Hale,375586,https://open.spotify.com/track/4JSDhJVmo2UqdF7nxbyenn
57,Ours,Ben&Ben,361610,https://open.spotify.com/track/2Bb9MjP3gY9oaUXXJLFDVi
58,"Switch It Up",Lavaado,359502,https://open.spotify.com/track/0Xq3TsWq8bCm7myxpBm0rh
59,"The Middle",Zedd,358321,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
60,"Bakit Ba Ikaw","Michael Pangilinan",356642,https://open.spotify.com/track/0Vmk6Ebk4QBq7r0VAz2a6s
61,Anino,"Up Dharma Down",351424,https://open.spotify.com/track/4KmkG7fVe8bNBUpCbKCdJQ
62,Dalaga,ALLMO$T,345374,https://open.spotify.com/track/6fWTVk29yvFEqE5VY6Gslk
63,"Sa Dulo Ng Walang Hanggan - Sa Ngalan Ng Pag-Ibig Piano Version","December Avenue",340896,https://open.spotify.com/track/1mTROTnvFi7uxGciL319Kb
64,Hope,"The Chainsmokers",336969,https://open.spotify.com/track/4BiiOzZCrXEzHRLYcYFiD5
65,Migraine,Moonstar88,334969,https://open.spotify.com/track/7sW3f7PqDV7BQ7qqeVBJIA
66,"Midnight Sky","Unique Salonga",333902,https://open.spotify.com/track/5eFzCfsj3d0yWumdEldZwL
67,"Rewrite The Stars","Zac Efron",332374,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
68,Hiling,"Mark Carpio",332119,https://open.spotify.com/track/6xQs6y6CpDqK9VKCktApEL
69,Sila,SUD,330525,https://open.spotify.com/track/2IMODbij0lZ5CuAjZi0IDE
70,Akala,Marion,318733,https://open.spotify.com/track/2Gh039ZAfydrM5IjiGlvEj
71,"no tears left to cry","Ariana Grande",317004,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
72,Narcissist,"No Rome",316192,https://open.spotify.com/track/4Zft1h1zRfkBqlAo4qEPqp
73,"Hanggang Kailan - Umuwi Ka Na Baby","Orange & Lemons",315393,https://open.spotify.com/track/5UhpceEr5XmbVwyoIUIRnh
74,Leaves,Ben&Ben,314810,https://open.spotify.com/track/6wdCelHrPh7UfliNjwRTUv
75,"Oks Lang","John Roa",306227,https://open.spotify.com/track/2wTxJWt2gA9a1Z94dTnPiI
76,"Be Alright","Dean Lewis",298809,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
77,Perfect,"Ed Sheeran",297765,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
78,Tagu-Taguan,"Moira Dela Torre",297729,https://open.spotify.com/track/2iOnWSWcChoGmUufbrQ00e
79,"Thick And Thin",LANY,294630,https://open.spotify.com/track/3D110t9ctcoOoylXsc3iR8
80,"Ruin My Life","Zara Larsson",289422,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
81,"Di Makatulog",SUD,284042,https://open.spotify.com/track/2ZiNCGDMapQzMtnPRVOKZI
82,Magbalik,Callalily,282311,https://open.spotify.com/track/5zMR44ZH4KVZj4FlhTj3SE
83,Sandali,Because,281877,https://open.spotify.com/track/1emnGTAsF4zSaWidgvK08I
84,"Tell Me Where It Hurts",MYMP,275973,https://open.spotify.com/track/6C2nrsOlb3jOUGcJAmPrTA
85,"Lost in the Fire",Gesaffelstein,274201,https://open.spotify.com/track/7wFybC8jBH3zE139OpCtpG
86,"With a Smile","South Border",274181,https://open.spotify.com/track/6XmskR1cMfgys1W7dExmgi
87,"Ang Huling El Bimbo",Eraserheads,269186,https://open.spotify.com/track/135ggzbjOogZ75IQ0LQi8r
88,"SICKO MODE","Travis Scott",263759,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
89,"One and Only","Parokya Ni Edgar",260559,https://open.spotify.com/track/3OpGUlDmRUXh0NkIYWoIlD
90,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,258985,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
91,"Way Back Home (feat. Conor Maynard) - Sam Feldt Edit",SHAUN,257519,https://open.spotify.com/track/1ZLrDPgR7mvuTco3rQK8Pk
92,Happier,"Ed Sheeran",253809,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
93,"Dying Inside To Hold You - From "" All Of You"" Official Soundtrack","Darren Espanto",253089,https://open.spotify.com/track/7xty20N3DMTVOVtDIS2Jov
94,Nadarang,"Shanti Dope",250546,https://open.spotify.com/track/6LJ1p1h5EcMK4VPeCLDSoF
95,"Dulo Ng Hangganan","IV Of Spades",247994,https://open.spotify.com/track/7h4W9blGxYCkKJ3dxPZ84j
96,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",246699,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
97,"Lie To Me (feat. Julia Michaels)","5 Seconds of Summer",245854,https://open.spotify.com/track/6GzApXoBQiiAjak3tOQfV3
98,"Nights Like This (feat. Ty Dolla $ign)",Kehlani,244527,https://open.spotify.com/track/7e4KQkp5ZR1gXCAalRjX6B
99,"What Lovers Do","Maroon 5",241327,https://open.spotify.com/track/0WdGQhoAP2LBsqr5Jhit2g
100,"Eroplanong Papel","December Avenue",239947,https://open.spotify.com/track/0dJPIIlTmVM0lambbFgAYq
101,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",236838,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
102,"Kahit Maputi Na Ang Buhok ko - From ""The Hows Of Us""","Moira Dela Torre",235856,https://open.spotify.com/track/7aW2GrNlteWTwQZxX6LNjT
103,Shallow,"Lady Gaga",234981,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
104,"Kung Akin Ang Mundo","Erik Santos",234073,https://open.spotify.com/track/0W2kzUI1K0tT0RpggJZ4Js
105,"Super Far",LANY,233486,https://open.spotify.com/track/15ahYSiHAIMxAnujlXVtta
106,"Malaya (Camp Sawi Original Motion Picture Soundtrack)","Moira Dela Torre",233339,https://open.spotify.com/track/6M21eWbEw74XDdoQsNIinq
107,Someday,Nina,233163,https://open.spotify.com/track/1MkiRsYBkXbXvdiYvTTiQT
108,"Better Now","Post Malone",231255,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
109,Sa'yo,"Silent Sanctuary",224634,https://open.spotify.com/track/29xs643Q96uQLD8f7SxYYw
110,"Dating Tayo","TJ Monterde",223374,https://open.spotify.com/track/267RumTt5KeLBGl2KWxBL0
111,"YES or YES",TWICE,221646,https://open.spotify.com/track/184XtKkzoAl83quIarUAJP
112,"Love Shot",EXO,219639,https://open.spotify.com/track/33NAYATbWRoo5RuEP30JBZ
113,Starving,"Hailee Steinfeld",216632,https://open.spotify.com/track/6875MeXyCW0wLyT72Eetmo
114,Photograph,"Ed Sheeran",216162,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
115,Stickwitu,"The Pussycat Dolls",214494,https://open.spotify.com/track/4NjR63Up0uMkQBlKvlZd1l
116,breathin,"Ariana Grande",214102,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
117,"Fire On Fire - From ""Watership Down""","Sam Smith",213897,https://open.spotify.com/track/5rFj8OzffT0iggSjcBaeND
118,Someday,"Leanne & Naara",213594,https://open.spotify.com/track/6sl4KzZ9PRb8xTzjYIrHAP
119,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",212821,https://open.spotify.com/track/5Gu0PDLN4YJeW75PpBSg9p
