,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Buwan,"juan karlos",2583054,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2
2,"Malibu Nights",LANY,2018158,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl
3,"Kung 'Di Rin Lang Ikaw","December Avenue",1887549,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
4,Sana,"I Belong to the Zoo",1647258,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
5,"Maybe The Night",Ben&Ben,1585236,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
6,"Sa Ngalan Ng Pag-Ibig","December Avenue",1307752,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
7,"Kathang Isip",Ben&Ben,1258432,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
8,"Love Someone","Lukas Graham",1218833,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
9,"Kiss and Make Up","Dua Lipa",1214671,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
10,Happier,Marshmello,1198223,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
11,"Thru These Tears",LANY,1184154,https://open.spotify.com/track/7GbAp0HKPQW7WnFJAzMoRk
12,2002,Anne-Marie,1099650,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
13,Mundo,"IV Of Spades",963941,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
14,"Girls Like You (feat. Cardi B)","Maroon 5",936414,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
15,"Beautiful (feat. Camila Cabello)",Bazzi,928085,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
16,Weak,"Khel Pangilinan",922474,https://open.spotify.com/track/06cUybZMETs4i3yQO1f7p3
17,"I Don't Wanna Love You Anymore",LANY,829401,https://open.spotify.com/track/7ArrTJ1LwcGAlEO65LUQ7i
18,"'Di Na Muli","Janine Teñoso",815738,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc
19,Better,Khalid,768212,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
20,"Thick And Thin",LANY,748198,https://open.spotify.com/track/3D110t9ctcoOoylXsc3iR8
21,"Eastside (with Halsey & Khalid)","benny blanco",726798,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
22,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",720105,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
23,"This Feeling (feat. Kelsea Ballerini)","The Chainsmokers",714800,https://open.spotify.com/track/15kQGEy89K8deJcZVFEn0N
24,IDGAF,"Dua Lipa",712176,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
25,Bulong,"December Avenue",669983,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
26,Akala,Marion,661314,https://open.spotify.com/track/2Gh039ZAfydrM5IjiGlvEj
27,Ex,Callalily,655321,https://open.spotify.com/track/0GHwNr0lqf8jpc9wesmnHo
28,"Waste It On Me (feat. BTS)","Steve Aoki",654589,https://open.spotify.com/track/2r1T6xGTVaNAqBoPH4lZEE
29,"You Are The Reason","Calum Scott",654388,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
30,"8 Letters","Why Don't We",624348,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt
31,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",597032,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
32,"The Middle",Zedd,538024,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
33,"Kahit Maputi Na Ang Buhok ko - From ""The Hows Of Us""","Moira Dela Torre",531778,https://open.spotify.com/track/7aW2GrNlteWTwQZxX6LNjT
34,"Be Alright","Dean Lewis",519877,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
35,"There's No Way (feat. Julia Michaels)",Lauv,507039,https://open.spotify.com/track/2hnxrRNzF74mdDzpQZQukQ
36,"Midnight Sky","Unique Salonga",498103,https://open.spotify.com/track/5eFzCfsj3d0yWumdEldZwL
37,"Electricity (with Dua Lipa)","Silk City",476561,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
