,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,1654048,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
2,"Kung 'Di Rin Lang Ikaw","December Avenue",1313848,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
3,"Girls Like You (feat. Cardi B)","Maroon 5",1257027,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
4,Mundo,"IV Of Spades",1232882,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
5,"Kathang Isip",Ben&Ben,1133283,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
6,"Thru These Tears",LANY,1082009,https://open.spotify.com/track/4gB61mP4tNChn4LgfquMhi
7,"'Di Na Muli","Janine Teñoso",1016241,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc
8,"No Brainer","DJ Khaled",1010526,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
9,2002,Anne-Marie,943720,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
10,"Sa Ngalan Ng Pag-Ibig","December Avenue",915706,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
11,"Eastside (with Halsey & Khalid)","benny blanco",871701,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
12,Tagpuan,"Moira Dela Torre",838489,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih
13,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,819110,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
14,Rise,"Jonas Blue",791165,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
15,BAAM,MOMOLAND,744971,https://open.spotify.com/track/4Is1b37KJY9XVCgzp81FBW
16,"Happy Now",Zedd,742135,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
17,"Beautiful (feat. Camila Cabello)",Bazzi,731135,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
18,"God is a woman","Ariana Grande",627183,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
19,"I'm a Mess","Bebe Rexha",618298,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
20,"Freaky Friday (feat. Chris Brown)","Lil Dicky",603494,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
21,"BBoom BBoom",MOMOLAND,599256,https://open.spotify.com/track/3BPoSr2pO34Aan6alFfVto
22,IDGAF,"Dua Lipa",596297,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
